alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.2655596733093262,-0.2031799852848053,1.316341757774353,147.82876586914062,173.53150939941406,93.33529663085938,0.026581669226288795,228.53240966796875,149.634521484375,273.1621398925781,150.4498748779297,164.8429412841797,152.15902709960938,0.09200910397339612,44,se3_log_map,0.7084019184112549,0.9984999895095825,-0.9564085006713867,-0.935803234577179,65.98542022705078,255.82696533203125,-78.0988998413086
-1.2652356624603271,-0.1914750337600708,1.316229224205017,151.87643432617188,172.1639862060547,104.70628356933594,0.07945442944765091,225.27951049804688,144.494873046875,267.6371154785156,145.2779083251953,151.8721466064453,148.37635803222656,0.1080850790021941,44,se3_log_map,0.7024742364883423,1.00600004196167,-0.9489085078239441,-0.9433032870292664,73.48526763916016,263.326904296875,-70.5998306274414
-1.2651562690734863,-0.1917005032300949,1.3249863386154175,146.68209838867188,178.0787353515625,112.55677795410156,0.0691748708486557,221.73602294921875,147.66900634765625,266.4075927734375,148.4259490966797,135.47152709960938,156.42156982421875,0.1043516980134882,44,se3_log_map,0.702531099319458,1.013271689414978,-0.9538605213165283,-0.93965083360672,69.2331771850586,270.6729736328125,-64.9546890258789
-1.2652511596679688,-0.19054418802261353,1.3269692659378052,149.66775512695312,181.19589233398438,118.53829193115234,0.07619349658489227,220.61973571777344,149.34732055664062,266.4163818359375,150.1385955810547,133.5367431640625,159.62478637695312,0.10615928203333169,44,se3_log_map,0.6775901913642883,1.015642523765564,-0.9543013572692871,-0.9397163391113281,72.31192779541016,277.9520568847656,-63.325523376464844
-1.2659518718719482,-0.18881264328956604,1.3255615234375,151.33737182617188,182.15455627441406,120.85812377929688,0.07079891115427017,220.8254852294922,149.87062072753906,266.88031005859375,150.67669677734375,133.9615936279297,160.32823181152344,0.10379040701081976,44,se3_log_map,0.6763931512832642,1.0152838230133057,-0.9528605937957764,-0.9420005083084106,73.79212188720703,280.87939453125,-62.5827751159668
-1.267032265663147,-0.18664495646953583,1.3216829299926758,154.271240234375,182.094970703125,120.34639739990234,0.0707746297121048,221.9929962158203,150.09170532226562,267.9709167480469,150.91793823242188,139.30593872070312,159.12196350097656,0.10337393800728023,44,se3_log_map,0.6786966919898987,1.0129730701446533,-0.9499934315681458,-0.9458532333374023,75.61504364013672,281.8609313964844,-64.09410858154297
-1.2692188024520874,-0.18552266061306,1.3191016912460327,154.59666442871094,181.74400329589844,118.9859848022461,0.07089512795209885,223.09446716308594,150.05752563476562,268.8650207519531,150.88430786132812,141.15711975097656,158.23960876464844,0.10281588503858075,44,se3_log_map,0.681014358997345,1.0106596946716309,-0.9491360187530518,-0.9494215846061707,75.14149475097656,281.072509765625,-64.89271545410156
-1.2727892398834229,-0.18430714309215546,1.3164877891540527,154.09298706054688,180.83316040039062,115.92961883544922,0.07154902815818787,224.4128875732422,149.8231964111328,269.829833984375,150.64027404785156,143.47535705566406,156.69984436035156,0.10391176398843527,44,se3_log_map,0.6812236309051514,1.0078420639038086,-0.9490031003952026,-0.9542141556739807,73.49147033691406,278.56494140625,-66.39985656738281
-1.27675199508667,-0.18362592160701752,1.3144007921218872,153.61607360839844,179.943359375,113.40528869628906,0.06887170672416687,225.73410034179688,149.545166015625,270.7760009765625,150.35467529296875,145.43943786621094,155.496826171875,0.10529075202066451,44,se3_log_map,0.6783398389816284,1.0049761533737183,-0.9497172236442566,-0.9587758779525757,72.1076889038086,276.3807067871094,-67.55689239501953
-1.2817364931106567,-0.18328462541103363,1.3143906593322754,150.58285522460938,178.48655700683594,111.65199279785156,0.09518925100564957,226.47303771972656,148.42666625976562,270.777587890625,149.2030029296875,142.52198791503906,154.65966796875,0.10048371402081102,44,se3_log_map,0.6985398530960083,1.0032379627227783,-0.9524018168449402,-0.9631543159484863,69.22261810302734,273.1501770019531,-66.7010269165039
-1.2865431308746338,-0.18278232216835022,1.312882900238037,149.4571533203125,176.9909210205078,109.30874633789062,0.08181329071521759,227.7794189453125,147.58642578125,271.4133605957031,148.3463897705078,143.5554962158203,153.35389709472656,0.10228750400710851,44,se3_log_map,0.7031411528587341,1.0004130601882935,-0.9540325999259949,-0.9680771827697754,67.68314361572266,270.3197326660156,-67.1715087890625
-1.2902898788452148,-0.1814521849155426,1.3086333274841309,151.91017150878906,175.31214904785156,106.01988983154297,0.09294731169939041,229.83291625976562,147.06834411621094,272.85943603515625,147.8419952392578,151.14126586914062,150.69729614257812,0.1010077340179123,44,se3_log_map,0.7014527320861816,0.9962438941001892,-0.9529680013656616,-0.9737361073493958,68.79256439208984,268.2721252441406,-69.99626922607422
-1.2941067218780518,-0.1796232908964157,1.3047361373901367,154.33958435058594,174.0995635986328,103.42376708984375,0.08781943470239639,231.64096069335938,146.89329528808594,274.2903137207031,147.68170166015625,157.86680603027344,148.56790161132812,0.10262566199526191,44,se3_log_map,0.6987909078598022,0.9926735758781433,-0.9518201351165771,-0.9796394109725952,69.847900390625,267.0464172363281,-72.49948120117188
-1.297940731048584,-0.17740944027900696,1.300318956375122,156.35301208496094,172.5003662109375,99.67312622070312,0.09210950136184692,233.5891571044922,146.8170928955078,275.8970031738281,147.61534118652344,165.6038360595703,146.1108856201172,0.10248696099733934,44,se3_log_map,0.7039402723312378,0.9889207482337952,-0.9501286149024963,-0.9860069751739502,70.27632141113281,264.7143859863281,-75.51651000976562
-1.3017632961273193,-0.17489616572856903,1.2971208095550537,157.14173889160156,170.85874938964844,96.06536865234375,0.09031660109758377,234.9739532470703,146.6728973388672,276.9940490722656,147.4675750732422,171.568115234375,144.01231384277344,0.10243014799198136,44,se3_log_map,0.7117913365364075,0.9863964915275574,-0.9489303231239319,-0.9920795559883118,69.78376770019531,261.9327697753906,-77.90506744384766
-1.3055765628814697,-0.17227815091609955,1.2944855690002441,157.06077575683594,169.1161651611328,92.01496887207031,0.0738740861415863,236.11691284179688,146.64479064941406,277.9494323730469,147.42724609375,177.23439025878906,142.18020629882812,0.10279754496878013,44,se3_log_map,0.7170723676681519,0.9844233989715576,-0.9479756355285645,-0.9979889392852783,68.47360229492188,258.4528503417969,-80.22772216796875
-1.3092315196990967,-0.16968177258968353,1.2930421829223633,157.4136505126953,168.55404663085938,89.59300994873047,0.06391023099422455,236.75732421875,147.1614227294922,278.76605224609375,147.9386749267578,181.3744354248047,141.4852752685547,0.10293179098516703,44,se3_log_map,0.7187978029251099,0.9834998250007629,-0.9476287961006165,-1.0032867193222046,67.53288269042969,257.0361328125,-82.088623046875
-1.311765432357788,-0.166904017329216,1.2922526597976685,158.78369140625,168.986083984375,88.822265625,0.06925328075885773,236.88392639160156,148.00698852539062,279.3207092285156,148.79010009765625,184.431640625,141.34384155273438,0.09914358996320516,44,se3_log_map,0.7194312214851379,0.9836790561676025,-0.9469038248062134,-1.0075078010559082,67.60369110107422,257.76605224609375,-83.64086151123047
-1.313871145248413,-0.16410548985004425,1.2915027141571045,161.33001708984375,170.00527954101562,88.5377197265625,0.07720997929573059,236.9190216064453,149.3223419189453,280.0495910644531,150.12477111816406,188.38714599609375,141.4380340576172,0.09963721199892461,44,se3_log_map,0.7191565036773682,0.9840750694274902,-0.9459415674209595,-1.011366605758667,68.53179931640625,259.7449951171875,-85.69083404541016
-1.3164759874343872,-0.16098028421401978,1.2922887802124023,162.58465576171875,171.34561157226562,89.82423400878906,0.07848513126373291,236.3388214111328,150.15133666992188,280.0025939941406,150.95654296875,188.47430419921875,142.11721801757812,0.10629951203009114,44,se3_log_map,0.7136965990066528,0.9857742190361023,-0.9459688663482666,-1.0152602195739746,68.7607421875,262.34698486328125,-86.06532287597656
-1.3194297552108765,-0.15794894099235535,1.2941598892211914,162.4858856201172,172.85768127441406,91.79084777832031,0.08149059116840363,235.40817260742188,150.72299194335938,279.5253601074219,151.51715087890625,185.92086791992188,143.3290252685547,0.10017458297079429,44,se3_log_map,0.7090625762939453,0.9881814122200012,-0.9469035267829895,-1.0189661979675293,68.02469635009766,264.8927917480469,-85.3427505493164
