alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.4887365102767944,0.32473304867744446,1.4413013458251953,180.85665893554688,206.80691528320312,100.71150970458984,0.22196361422538757,253.3906707763672,119.88597869873047,280.3203125,120.26750183105469,88.63681030273438,192.28125,0.08597690900205635,34,se3_log_map,0.7028931975364685,1.37348473072052,-0.8610363602638245,-1.421375036239624,-7.981589317321777,323.0935974121094,-152.20802307128906
-1.4847880601882935,0.3221544325351715,1.4522887468338013,182.51815795898438,203.83644104003906,111.90106964111328,0.25721272826194763,248.83148193359375,115.6045150756836,274.374755859375,116.0488052368164,86.19577026367188,187.37908935546875,0.0973792299919296,34,se3_log_map,0.7009217143058777,1.380984902381897,-0.8685362935066223,-1.413874864578247,-0.4816543161869049,330.5935974121094,-144.70799255371094
-1.4814425706863403,0.31878384947776794,1.4617815017700195,174.41275024414062,203.59104919433594,115.96659851074219,0.2699379622936249,244.74551391601562,116.28775787353516,270.9671630859375,116.80915832519531,72.34268951416016,189.09872436523438,0.16674912000598852,34,se3_log_map,0.7168076038360596,1.3866990804672241,-0.8757718205451965,-1.4066506624221802,-4.310734272003174,328.4228210449219,-137.94142150878906
-1.4780226945877075,0.3158310651779175,1.47189199924469,165.2400360107422,204.39956665039062,119.90636444091797,0.3003711998462677,240.55453491210938,118.94554901123047,268.355224609375,119.55525970458984,59.141788482666016,192.5039520263672,0.09673938700871076,34,se3_log_map,0.7188952565193176,1.3932039737701416,-0.8831362128257751,-1.3994412422180176,-9.846235275268555,326.2975158691406,-131.32489013671875
-1.4786298274993896,0.31729790568351746,1.479616641998291,163.4423828125,203.21775817871094,125.11929321289062,0.2973601222038269,238.918212890625,118.42276000976562,266.6568298339844,119.09030151367188,58.29731369018555,192.94955444335938,0.09840606899524573,34,se3_log_map,0.7167768478393555,1.3998336791992188,-0.8889538049697876,-1.398829698562622,-8.958357810974121,328.58514404296875,-127.0759048461914
-1.4793732166290283,0.31915000081062317,1.4817655086517334,164.75234985351562,202.0076141357422,127.7609634399414,0.2978045344352722,238.88478088378906,117.0967788696289,266.04058837890625,117.7786865234375,61.362464904785156,192.01007080078125,0.0963090310106054,34,se3_log_map,0.7182888984680176,1.4024945497512817,-0.8901134133338928,-1.4000616073608398,-6.577688217163086,330.7443542480469,-125.71341705322266
-1.4815664291381836,0.32005688548088074,1.4813529253005981,168.01576232910156,201.0265655517578,128.78793334960938,0.2940827012062073,239.7840576171875,115.45545196533203,266.1322326660156,116.12934112548828,66.7027816772461,190.4656219482422,0.0968295000056969,34,se3_log_map,0.7203887701034546,1.4022101163864136,-0.8909808397293091,-1.402427315711975,-3.4280824661254883,332.9512023925781,-126.44281768798828
-1.4801535606384277,0.3192274272441864,1.4834096431732178,167.12786865234375,200.80093383789062,128.4338836669922,0.29821497201919556,238.699462890625,115.40998840332031,265.1356201171875,116.08090209960938,65.07788848876953,190.19921875,0.09751703999063466,34,se3_log_map,0.7207722663879395,1.403571367263794,-0.8920372128486633,-1.400259256362915,-3.6904795169830322,331.8975524902344,-126.30381774902344
-1.479724645614624,0.31854093074798584,1.48292076587677,168.43194580078125,200.50306701660156,127.02312469482422,0.30142003297805786,238.58416748046875,114.71155548095703,264.72845458984375,115.35894775390625,65.79573822021484,189.08509826660156,0.09727757799555548,34,se3_log_map,0.7211883068084717,1.4028573036193848,-0.891730785369873,-1.3996052742004395,-2.7163994312286377,331.30133056640625,-127.85840606689453
-1.4793224334716797,0.31781938672065735,1.4814887046813965,170.73483276367188,200.0631561279297,124.9721450805664,0.3051769733428955,238.7171173095703,113.65682220458984,264.3931579589844,114.26835632324219,67.81591033935547,187.4037628173828,0.09771189799357671,34,se3_log_map,0.722637414932251,1.401404857635498,-0.8907027840614319,-1.3992003202438354,-1.0669145584106445,330.6991271972656,-130.2605438232422
