idx,ssim,ssim_ori,tre,mpd,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
2,0.7325244545936584,0.7114359140396118,46.96406173706055,37.67024230957031,21.29429258997674,85.10748291015625,204.38992309570312,85.59819030761719,-1.0878627300262451,0.4395884573459625,1.679691195487976,241.0576171875,71.27214050292969,49.931480407714844,1.6399916410446167,-0.9539186358451843,-0.877359926700592,241.0576171875,71.27214050292969,49.931480407714844
3,0.7200354337692261,0.7196729183197021,46.8812370300293,40.83723449707031,21.834309858061452,86.8036880493164,209.38119506835938,87.3285903930664,-1.1007952690124512,0.4456690549850464,1.663267970085144,240.56851196289062,73.91329193115234,46.912200927734375,1.6399916410446167,-0.9539186358451843,-0.877359926700592,240.56851196289062,73.91329193115234,46.912200927734375
4,0.7251591086387634,0.7126873731613159,44.01628112792969,41.3951530456543,23.042814023386295,82.3379898071289,217.29086303710938,82.88996887207031,-1.110860824584961,0.4727252423763275,1.669756531715393,236.17001342773438,74.03304290771484,49.48204803466797,1.6399916410446167,-0.9539186358451843,-0.877359926700592,236.17001342773438,74.03304290771484,49.48204803466797
5,0.7156552076339722,0.723853588104248,46.20286560058594,43.95327377319336,22.57620872133115,85.31521606445312,214.69381713867188,85.8624496459961,-1.1017569303512573,0.4603215456008911,1.6643152236938477,241.09207153320312,75.91946411132812,48.66661834716797,1.6399916410446167,-0.9539186358451843,-0.877359926700592,241.09207153320312,75.91946411132812,48.66661834716797
6,0.7451295256614685,0.7242838144302368,29.61982536315918,29.02978515625,23.86196112405554,84.9285888671875,224.88804626464844,85.54582977294922,-0.9529120326042175,0.44414347410202026,1.6989296674728394,245.4376983642578,97.13687896728516,51.49693298339844,1.6399916410446167,-0.9539186358451843,-0.877359926700592,245.4376983642578,97.13687896728516,51.49693298339844
7,0.7426645755767822,0.7447038292884827,26.689592361450195,23.517436981201172,22.67110660467812,80.35741424560547,213.53936767578125,80.88358306884766,-0.9560467600822449,0.4216626286506653,1.6993780136108398,238.74794006347656,94.71898651123047,52.092445373535156,1.6399916410446167,-0.9539186358451843,-0.877359926700592,238.74794006347656,94.71898651123047,52.092445373535156
8,0.7455463409423828,0.7436471581459045,31.19513702392578,25.631025314331055,22.257275387622478,81.70846557617188,210.71804809570312,82.22528076171875,-0.9867328405380249,0.42845767736434937,1.69553542137146,240.37013244628906,89.23361206054688,51.31602478027344,1.6399916410446167,-0.9539186358451843,-0.877359926700592,240.37013244628906,89.23361206054688,51.31602478027344
9,0.7373872399330139,0.7217217683792114,38.960182189941406,41.770999908447266,17.052289186611347,84.2626953125,171.0099639892578,84.57337951660156,-1.0086499452590942,0.3579217493534088,1.7534765005111694,243.58154296875,93.32946014404297,50.594749450683594,1.6399916410446167,-0.9539186358451843,-0.877359926700592,243.58154296875,93.32946014404297,50.594749450683594
10,0.7142269611358643,0.7052342891693115,54.295127868652344,71.71314239501953,24.140440504065033,33.799171447753906,213.35922241210938,33.873268127441406,-1.2069765329360962,0.44601941108703613,1.5608174800872803,214.12200927734375,109.68583679199219,100.95353698730469,1.6399916410446167,-0.9539186358451843,-0.877359926700592,214.12200927734375,109.68583679199219,100.95353698730469
11,0.7172062397003174,0.6987143754959106,44.572444915771484,57.71296691894531,29.172680839079003,42.49531936645508,258.1020202636719,42.938270568847656,-1.3410676717758179,0.4326334595680237,1.4238628149032593,203.437255859375,66.64617156982422,83.74130249023438,1.6399916410446167,-0.9539186358451843,-0.877359926700592,203.437255859375,66.64617156982422,83.74130249023438
12,0.7191658020019531,0.7120945453643799,43.871036529541016,50.41720962524414,26.91880321660353,58.884403228759766,242.1786346435547,59.42422866821289,-1.2036125659942627,0.4573369026184082,1.491824984550476,223.34625244140625,68.53392028808594,71.83148193359375,1.6399916410446167,-0.9539186358451843,-0.877359926700592,223.34625244140625,68.53392028808594,71.83148193359375
13,0.7172909379005432,0.7101808786392212,77.73175811767578,78.9338150024414,12.982904880932118,63.69741439819336,129.9754638671875,63.83280944824219,-1.3343474864959717,0.10688415169715881,1.6863765716552734,227.3446807861328,41.49028015136719,92.32891845703125,1.6399916410446167,-0.9539186358451843,-0.877359926700592,227.3446807861328,41.49028015136719,92.32891845703125
14,0.7040979862213135,0.714238703250885,71.45646667480469,50.114845275878906,37.34929110266592,86.87821960449219,337.31414794921875,88.38426208496094,-0.6295017004013062,0.4223670959472656,1.638972520828247,209.59048461914062,167.54388427734375,84.88951110839844,1.6399916410446167,-0.9539186358451843,-0.877359926700592,209.59048461914062,167.54388427734375,84.88951110839844
15,0.7353103160858154,0.7206559181213379,41.862213134765625,58.49635314941406,29.748525454643666,95.27074432373047,276.5342712402344,96.21825408935547,-0.677794873714447,0.28897297382354736,1.7024059295654297,255.0669403076172,124.9441909790039,54.88542175292969,1.6399916410446167,-0.9539186358451843,-0.877359926700592,255.0669403076172,124.9441909790039,54.88542175292969
16,0.7116239070892334,0.7118703722953796,38.006649017333984,53.031166076660156,30.342129873446684,94.65775299072266,281.1960144042969,95.67547607421875,-0.6756213307380676,0.3248947560787201,1.7229160070419312,252.84130859375,125.92778015136719,54.27306365966797,1.6399916410446167,-0.9539186358451843,-0.877359926700592,252.84130859375,125.92778015136719,54.27306365966797
17,0.7035984396934509,0.7092605829238892,31.98480224609375,42.940975189208984,31.621716964935626,90.94319152832031,290.5510559082031,92.07319641113281,-0.6761981248855591,0.3986016511917114,1.7712559700012207,243.90438842773438,131.64144897460938,55.634559631347656,1.6399916410446167,-0.9539186358451843,-0.877359926700592,243.90438842773438,131.64144897460938,55.634559631347656
