idx,ssim,ssim_ori,tre,mpd,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
0,0.7783445119857788,0.7319740653038025,60.301124572753906,11.20026683807373,5.961462545781085,65.04914855957031,83.29371643066406,65.07746887207031,-1.221449375152588,0.05538153275847435,1.8279860019683838,154.5829315185547,140.1516571044922,126.14356231689453,1.6399916410446167,-0.9539186358451843,-0.877359926700592,154.5829315185547,140.1516571044922,126.14356231689453
1,0.7776584625244141,0.7228097915649414,61.462974548339844,11.056772232055664,5.643807386352933,65.89775085449219,82.26921844482422,65.92292022705078,-1.2120455503463745,0.05162425711750984,1.8317840099334717,155.27305603027344,141.66302490234375,126.67631530761719,1.6399916410446167,-0.9539186358451843,-0.877359926700592,155.27305603027344,141.66302490234375,126.67631530761719
2,0.7897015810012817,0.7321915030479431,60.747501373291016,13.874960899353027,4.175759966756569,64.38165283203125,73.97904205322266,64.3946304321289,-1.189723014831543,0.06501614302396774,1.829472303390503,155.50071716308594,139.878173828125,126.97412109375,1.6399916410446167,-0.9539186358451843,-0.877359926700592,155.50071716308594,139.878173828125,126.97412109375
3,0.8000931739807129,0.7394185066223145,61.748558044433594,16.428056716918945,3.4337970636332176,64.88972473144531,71.47453308105469,64.89885711669922,-1.1804237365722656,0.07094976305961609,1.8224918842315674,154.76258850097656,140.07162475585938,126.25086975097656,1.6399916410446167,-0.9539186358451843,-0.877359926700592,154.76258850097656,140.07162475585938,126.25086975097656
4,0.7847561240196228,0.7375117540359497,61.0075569152832,11.962006568908691,5.103111689238342,65.1954345703125,78.9533920288086,65.21651458740234,-1.2087953090667725,0.06067894399166107,1.8218953609466553,154.7232208251953,140.5077362060547,125.70156860351562,1.6399916410446167,-0.9539186358451843,-0.877359926700592,154.7232208251953,140.5077362060547,125.70156860351562
5,0.7955911755561829,0.7404665946960449,63.30305480957031,14.199042320251465,4.718255773887296,67.35099029541016,78.9398422241211,67.36978912353516,-1.204827070236206,0.0659424364566803,1.8169052600860596,153.06527709960938,141.92005920410156,126.04856872558594,1.6399916410446167,-0.9539186358451843,-0.877359926700592,153.06527709960938,141.92005920410156,126.04856872558594
6,0.7962692379951477,0.7253209352493286,65.47554779052734,16.798593521118164,6.1595598883167995,70.72075653076172,88.8298110961914,70.75445556640625,-1.2130032777786255,0.03468076139688492,1.8302807807922363,150.17745971679688,144.1904296875,124.07562255859375,1.6399916410446167,-0.9539186358451843,-0.877359926700592,150.17745971679688,144.1904296875,124.07562255859375
7,0.8019717931747437,0.7357534170150757,64.04150390625,15.73437786102295,4.971507385744483,68.44300079345703,81.03497314453125,68.46450805664062,-1.2091034650802612,0.06279440969228745,1.8126980066299438,151.34596252441406,142.13772583007812,124.64989471435547,1.6399916410446167,-0.9539186358451843,-0.877359926700592,151.34596252441406,142.13772583007812,124.64989471435547
8,0.8052024841308594,0.7472620010375977,67.47303771972656,15.905259132385254,5.802978989035124,72.76119232177734,88.64906311035156,72.79017639160156,-1.213334560394287,0.05069432407617569,1.8356389999389648,149.4756622314453,145.64942932128906,128.49295043945312,1.6399916410446167,-0.9539186358451843,-0.877359926700592,149.4756622314453,145.64942932128906,128.49295043945312
9,0.7791104316711426,0.724389910697937,63.230960845947266,12.530426025390625,5.9340176435826795,67.97935485839844,85.4563217163086,68.00690460205078,-1.2018038034439087,0.03613036125898361,1.845786213874817,153.8931884765625,143.30722045898438,126.28355407714844,1.6399916410446167,-0.9539186358451843,-0.877359926700592,153.8931884765625,143.30722045898438,126.28355407714844
10,0.7593193054199219,0.7126587629318237,67.12054443359375,28.814619064331055,13.621328454653625,75.19831848144531,140.6574249267578,75.34615325927734,-1.346574306488037,0.03889831528067589,1.8727221488952637,148.5697479248047,145.68441772460938,137.93077087402344,1.6399916410446167,-0.9539186358451843,-0.877359926700592,148.5697479248047,145.68441772460938,137.93077087402344
11,0.7730072736740112,0.7129064202308655,62.429649353027344,22.808958053588867,12.105849141535943,69.48592376708984,126.44696044921875,69.594482421875,-1.3141719102859497,0.02917882241308689,1.874606966972351,152.8650360107422,142.71751403808594,134.31094360351562,1.6399916410446167,-0.9539186358451843,-0.877359926700592,152.8650360107422,142.71751403808594,134.31094360351562
12,0.7766515612602234,0.7221957445144653,64.7961654663086,25.1141300201416,11.87286035136111,72.72132110595703,126.5838623046875,72.82758331298828,-1.3138810396194458,0.041037335991859436,1.8728328943252563,149.72071838378906,143.72702026367188,136.72857666015625,1.6399916410446167,-0.9539186358451843,-0.877359926700592,149.72071838378906,143.72702026367188,136.72857666015625
13,0.7926769256591797,0.7330495119094849,64.62683868408203,14.466477394104004,10.306950855601016,72.76775360107422,115.6947250366211,72.85504913330078,-1.2597460746765137,0.0011478664819151163,1.8807024955749512,148.86126708984375,145.06689453125,129.0568084716797,1.6399916410446167,-0.9539186358451843,-0.877359926700592,148.86126708984375,145.06689453125,129.0568084716797
14,0.7818491458892822,0.7311246991157532,59.53451919555664,12.069870948791504,7.883188833900025,65.74471282958984,95.15752410888672,65.7938003540039,-1.2412536144256592,0.03146747872233391,1.8480212688446045,152.9921875,139.81503295898438,125.9493637084961,1.6399916410446167,-0.9539186358451843,-0.877359926700592,152.9921875,139.81503295898438,125.9493637084961
15,0.8055844902992249,0.7110100984573364,72.14804077148438,34.428775787353516,5.016153873480755,75.4388427734375,87.2192611694336,75.46053314208984,-1.1391346454620361,0.025525003671646118,1.8563416004180908,144.2188262939453,145.2398681640625,125.24271392822266,1.6399916410446167,-0.9539186358451843,-0.877359926700592,144.2188262939453,145.2398681640625,125.24271392822266
16,0.7986878752708435,0.7195665240287781,70.27404022216797,27.783174514770508,5.272405522987465,74.3014907836914,87.39376068115234,74.3273696899414,-1.1704211235046387,0.02105618081986904,1.83766508102417,146.84332275390625,146.25479125976562,122.23204040527344,1.6399916410446167,-0.9539186358451843,-0.877359926700592,146.84332275390625,146.25479125976562,122.23204040527344
17,0.7919793128967285,0.726108193397522,65.60839080810547,17.121355056762695,6.071358431715136,71.15782165527344,88.71634674072266,71.1899185180664,-1.210679054260254,0.03802712261676788,1.8373451232910156,149.24949645996094,143.82919311523438,125.637939453125,1.6399916410446167,-0.9539186358451843,-0.877359926700592,149.24949645996094,143.82919311523438,125.637939453125
