ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
11,81.74,48.50,失败,失败,-0.9330,-0.1878,1.9168,160.17,55.39,163.29,gncczyl_xray011_se3_log_map.csv
18,87.39,51.01,失败,失败,-0.9175,-0.1864,1.9325,157.76,59.60,162.81,gncczyl_xray018_se3_log_map.csv
80,58.00,15.05,失败,失败,-0.6891,0.1984,2.0294,220.77,70.53,106.50,gncczyl_xray080_se3_log_map.csv
73,11.42,8.99,失败,成功,-0.6665,0.1329,1.8911,267.28,43.82,115.05,gncczyl_xray073_se3_log_map.csv
23,85.31,50.40,失败,失败,-0.9238,-0.1959,1.9238,158.67,58.15,163.57,gncczyl_xray023_se3_log_map.csv
6,57.45,38.06,失败,失败,-0.8463,0.1943,1.8877,281.75,-15.14,103.03,gncczyl_xray006_se3_log_map.csv
45,81.08,49.97,失败,失败,-0.9356,-0.2048,1.9244,160.05,54.33,164.47,gncczyl_xray045_se3_log_map.csv
10,65.42,39.34,失败,失败,-0.8600,0.1905,1.8752,285.00,-23.37,103.71,gncczyl_xray010_se3_log_map.csv
26,91.28,51.37,失败,失败,-0.9207,-0.1884,1.9244,155.24,62.95,161.55,gncczyl_xray026_se3_log_map.csv
22,59.56,18.93,失败,失败,-0.8416,-0.0274,1.9719,272.33,-34.40,153.45,gncczyl_xray022_se3_log_map.csv
48,82.53,50.84,失败,失败,-0.9322,-0.2313,1.9242,159.17,56.15,168.18,gncczyl_xray048_se3_log_map.csv
61,48.82,17.04,失败,失败,-0.8909,0.0077,1.9644,254.40,-33.28,142.35,gncczyl_xray061_se3_log_map.csv
59,57.06,18.09,失败,失败,-0.8908,0.0025,1.9740,258.83,-40.27,144.64,gncczyl_xray059_se3_log_map.csv
28,59.02,17.82,失败,失败,-0.8610,-0.0152,1.9682,267.92,-36.99,148.41,gncczyl_xray028_se3_log_map.csv
