ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
12,33.33,43.99,失败,失败,-0.9251,0.2462,1.8539,228.99,15.33,123.77,gnccdicezyl_xray012_se3_log_map.csv
67,31.95,39.28,失败,失败,-0.9258,0.2389,1.8536,226.11,20.57,122.82,gnccdicezyl_xray067_se3_log_map.csv
39,32.62,42.83,失败,失败,-0.9474,0.2904,1.8610,224.83,13.17,112.68,gnccdicezyl_xray039_se3_log_map.csv
27,35.45,47.30,失败,失败,-0.9013,0.2245,1.8534,232.64,16.54,131.23,gnccdicezyl_xray027_se3_log_map.csv
20,35.46,47.47,失败,失败,-0.9224,0.2091,1.8546,229.71,13.95,134.40,gnccdicezyl_xray020_se3_log_map.csv
81,34.81,41.32,失败,失败,-0.9250,0.2518,1.8505,223.89,22.94,122.42,gnccdicezyl_xray081_se3_log_map.csv
35,33.28,44.47,失败,失败,-0.9058,0.2707,1.8613,232.54,15.64,118.40,gnccdicezyl_xray035_se3_log_map.csv
9,35.04,47.99,失败,失败,-0.8847,0.1934,1.8626,241.06,12.69,120.26,gnccdicezyl_xray009_se3_log_map.csv
2,3.64,3.74,成功,成功,-0.8502,0.1885,1.8966,239.75,22.65,84.85,gnccdicezyl_xray002_se3_log_map.csv
14,31.17,41.75,失败,失败,-0.9373,0.2472,1.8560,228.82,11.34,121.07,gnccdicezyl_xray014_se3_log_map.csv
76,33.25,41.46,失败,失败,-0.9114,0.2549,1.8453,228.27,21.26,121.46,gnccdicezyl_xray076_se3_log_map.csv
3,34.22,46.82,失败,失败,-0.8969,0.1892,1.8549,236.56,15.15,121.16,gnccdicezyl_xray003_se3_log_map.csv
33,33.98,44.43,失败,失败,-0.9133,0.2716,1.8559,229.12,17.05,118.98,gnccdicezyl_xray033_se3_log_map.csv
36,32.02,43.03,失败,失败,-0.9132,0.2702,1.8635,232.66,13.88,116.87,gnccdicezyl_xray036_se3_log_map.csv
83,35.16,41.60,失败,失败,-0.9157,0.2556,1.8473,225.39,24.22,122.04,gnccdicezyl_xray083_se3_log_map.csv
6,4.34,1.78,成功,成功,-0.8164,0.1512,1.9000,250.99,21.39,93.17,gnccdicezyl_xray006_se3_log_map.csv
8,36.07,49.02,失败,失败,-0.8918,0.1804,1.8715,241.56,9.30,123.27,gnccdicezyl_xray008_se3_log_map.csv
70,33.74,40.94,失败,失败,-0.9250,0.2301,1.8487,225.15,21.55,126.43,gnccdicezyl_xray070_se3_log_map.csv
63,25.39,14.12,失败,失败,-0.8375,0.2093,1.9475,253.66,3.22,86.70,gnccdicezyl_xray063_se3_log_map.csv
65,27.29,30.54,失败,失败,-0.9290,0.2763,1.9375,229.54,-3.07,100.54,gnccdicezyl_xray065_se3_log_map.csv
23,2.45,2.26,成功,成功,-0.8243,0.1612,1.9035,248.07,19.23,109.13,gnccdicezyl_xray023_se3_log_map.csv
24,33.38,45.39,失败,失败,-0.9123,0.2102,1.8578,234.13,12.45,131.96,gnccdicezyl_xray024_se3_log_map.csv
42,35.74,48.73,失败,失败,-0.9176,0.2111,1.8585,232.81,10.72,134.18,gnccdicezyl_xray042_se3_log_map.csv
47,34.89,46.90,失败,失败,-0.9116,0.2642,1.8645,232.03,14.22,121.30,gnccdicezyl_xray047_se3_log_map.csv
61,31.74,42.96,失败,失败,-0.9168,0.2579,1.8672,233.17,11.44,119.02,gnccdicezyl_xray061_se3_log_map.csv
19,34.88,47.05,失败,失败,-0.9270,0.2209,1.8468,230.42,12.19,131.35,gnccdicezyl_xray019_se3_log_map.csv
53,34.33,44.47,失败,失败,-0.9118,0.2573,1.8597,229.27,18.47,122.18,gnccdicezyl_xray053_se3_log_map.csv
50,31.16,41.64,失败,失败,-0.9184,0.2508,1.8633,230.67,13.66,120.46,gnccdicezyl_xray050_se3_log_map.csv
87,42.21,43.25,失败,失败,-0.7204,0.1520,1.9207,236.14,51.58,85.96,gnccdicezyl_xray087_se3_log_map.csv
22,2.94,1.83,成功,成功,-0.8192,0.1652,1.9005,249.18,18.75,108.43,gnccdicezyl_xray022_se3_log_map.csv
51,33.14,43.32,失败,失败,-0.9088,0.2553,1.8563,230.27,17.58,121.72,gnccdicezyl_xray051_se3_log_map.csv
78,32.35,42.10,失败,失败,-0.9126,0.2192,1.8528,230.51,18.06,128.66,gnccdicezyl_xray078_se3_log_map.csv
79,32.86,41.65,失败,失败,-0.9244,0.2494,1.8543,227.19,19.04,122.01,gnccdicezyl_xray079_se3_log_map.csv
66,25.86,34.12,失败,失败,-0.9103,0.2355,1.8735,229.12,13.35,118.50,gnccdicezyl_xray066_se3_log_map.csv
30,33.43,43.74,失败,失败,-0.9098,0.2691,1.8468,230.38,17.60,119.26,gnccdicezyl_xray030_se3_log_map.csv
86,5.68,2.44,成功,成功,-0.8160,0.1529,1.8862,245.84,25.75,111.73,gnccdicezyl_xray086_se3_log_map.csv
26,4.80,2.31,成功,成功,-0.8289,0.1612,1.9053,248.99,16.35,108.60,gnccdicezyl_xray026_se3_log_map.csv
