ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
45,99.95,38.03,失败,失败,-1.0027,-0.0021,1.9258,143.63,70.83,146.76,localncczyl_xray045_se3_log_map.csv
87,7.68,2.32,成功,成功,-0.8035,0.1345,1.8637,246.10,27.92,115.69,localncczyl_xray087_se3_log_map.csv
31,2.49,1.66,成功,成功,-0.7978,0.1310,1.8585,250.84,24.15,118.02,localncczyl_xray031_se3_log_map.csv
5,4.35,5.30,成功,成功,-0.8213,0.1147,1.8052,248.13,24.27,107.17,localncczyl_xray005_se3_log_map.csv
33,47.80,27.49,失败,失败,-0.8611,0.1241,1.9346,198.38,38.05,117.73,localncczyl_xray033_se3_log_map.csv
53,9.96,9.14,成功,成功,-0.9736,0.0803,1.8813,220.52,1.80,124.96,localncczyl_xray053_se3_log_map.csv
61,12.17,8.94,失败,成功,-0.9708,0.0534,1.8655,224.68,-3.63,130.83,localncczyl_xray061_se3_log_map.csv
76,5.71,2.81,成功,成功,-0.8183,0.1009,1.8541,245.69,24.40,122.83,localncczyl_xray076_se3_log_map.csv
80,10.13,2.65,失败,成功,-0.8051,0.1701,1.8739,243.76,30.23,107.97,localncczyl_xray080_se3_log_map.csv
9,3.21,2.18,成功,成功,-0.8226,0.0984,1.8513,250.14,20.06,107.81,localncczyl_xray009_se3_log_map.csv
34,89.48,104.50,失败,失败,-0.7877,0.0054,1.7865,186.70,37.24,91.73,localncczyl_xray034_se3_log_map.csv
86,8.57,3.53,成功,成功,-0.7722,0.1576,1.8570,250.77,32.39,112.69,localncczyl_xray086_se3_log_map.csv
13,12.78,10.59,失败,失败,-1.0007,0.0636,1.8818,217.24,-4.63,127.72,localncczyl_xray013_se3_log_map.csv
48,97.02,104.71,失败,失败,-0.8188,-0.0102,1.8101,178.03,47.96,90.69,localncczyl_xray048_se3_log_map.csv
15,14.95,16.62,失败,失败,-0.9684,0.0936,1.9580,208.31,-1.25,127.50,localncczyl_xray015_se3_log_map.csv
40,12.45,10.08,失败,失败,-0.9846,0.0510,1.8711,221.39,-3.51,130.75,localncczyl_xray040_se3_log_map.csv
60,11.84,10.27,失败,失败,-0.9901,0.0570,1.8794,219.06,-2.06,129.68,localncczyl_xray060_se3_log_map.csv
2,10.12,12.00,失败,失败,-0.8223,0.0357,1.9239,248.97,15.71,127.28,localncczyl_xray002_se3_log_map.csv
35,27.01,27.93,失败,失败,-0.9145,0.1596,1.8377,204.70,14.07,105.08,localncczyl_xray035_se3_log_map.csv
19,12.92,17.17,失败,失败,-0.8343,0.1696,1.9599,232.48,13.23,105.23,localncczyl_xray019_se3_log_map.csv
43,5.47,5.62,成功,成功,-0.8975,0.0796,1.8612,234.88,12.83,126.92,localncczyl_xray043_se3_log_map.csv
42,5.55,5.52,成功,成功,-0.8996,0.0904,1.8601,233.45,13.34,124.50,localncczyl_xray042_se3_log_map.csv
28,22.35,29.52,失败,失败,-0.9463,0.1649,1.8713,211.93,-6.50,123.06,localncczyl_xray028_se3_log_map.csv
66,13.38,11.31,失败,失败,-0.7146,0.1378,1.8912,254.50,35.12,115.78,localncczyl_xray066_se3_log_map.csv
