alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.1331114768981934,-0.03253643587231636,1.681982398033142,140.71302795410156,43.60652160644531,166.64840698242188,0.5862187147140503,46.077049255371094,21.82325553894043,50.98381042480469,21.829999923706055,13.778870582580566,18.30500602722168,0.10813055996550247,27,se3_log_map,0.7211347818374634,1.4628199338912964,-0.9607137441635132,-0.8161770105361938,159.89569091796875,206.0543670654297,9.813465118408203
-1.1325883865356445,-0.03624884411692619,1.6928765773773193,132.57908630371094,40.84783172607422,166.05010986328125,0.4243130683898926,47.14179229736328,20.52788543701172,51.41733932495117,20.533716201782227,21.88604736328125,21.53953742980957,0.12205617199651897,27,se3_log_map,0.7153818607330322,1.4703199863433838,-0.9682137370109558,-0.8086770176887512,154.89569091796875,201.05435180664062,14.813433647155762
-1.1372979879379272,-0.03603183105587959,1.6969990730285645,133.9835205078125,40.945289611816406,167.1610107421875,0.4956572651863098,45.2459831237793,20.8653564453125,49.825313568115234,20.871116638183594,20.49485969543457,20.47825050354004,0.18762008502380922,27,se3_log_map,0.7147871255874634,1.4721883535385132,-0.9740786552429199,-0.810696005821228,156.62252807617188,202.64012145996094,13.990691184997559
-1.1429603099822998,-0.03623458370566368,1.6963400840759277,137.89295959472656,42.16693878173828,168.12081909179688,0.5861918330192566,42.99513626098633,21.70023536682129,48.1609992980957,21.706209182739258,16.797555923461914,18.681053161621094,0.11699970497284085,27,se3_log_map,0.7220159769058228,1.4693506956100464,-0.9784054756164551,-0.8148717880249023,159.6986541748047,205.53627014160156,11.284819602966309
-1.1454211473464966,-0.03663566708564758,1.6925147771835327,141.7916717529297,43.353973388671875,167.81834411621094,0.5158719420433044,42.046600341796875,22.42721176147461,47.65392303466797,22.43356704711914,14.159358024597168,17.496570587158203,0.11780845397152007,27,se3_log_map,0.7302377223968506,1.4649142026901245,-0.978561520576477,-0.8177865147590637,162.1813507080078,207.2353973388672,8.242592811584473
-1.1458914279937744,-0.03795304149389267,1.6918504238128662,142.07949829101562,43.509620666503906,167.03262329101562,0.5241780281066895,42.26791763305664,22.08745002746582,47.691009521484375,22.093887329101562,12.614513397216797,17.099428176879883,0.11833402496995404,27,se3_log_map,0.7241050004959106,1.463431477546692,-0.9793278574943542,-0.8173066973686218,162.14154052734375,206.6710205078125,7.448586940765381
-1.1443017721176147,-0.039724186062812805,1.691580057144165,140.6719512939453,43.32756805419922,165.43560791015625,0.5978823900222778,43.441429138183594,20.8859920501709,48.20147705078125,20.89247703552246,10.217044830322266,16.915958404541016,0.11874950001947582,27,se3_log_map,0.721045732498169,1.46282160282135,-0.9789076447486877,-0.8148152232170105,160.57550048828125,204.62985229492188,7.3817315101623535
-1.1420506238937378,-0.04154819995164871,1.6912814378738403,138.797119140625,42.964317321777344,163.66819763183594,0.5944124460220337,44.8871955871582,19.614198684692383,48.985477447509766,19.620710372924805,9.403987884521484,17.201820373535156,0.11820914800046012,27,se3_log_map,0.7189373970031738,1.4624124765396118,-0.9779733419418335,-0.8118120431900024,158.64154052734375,202.1661834716797,7.629095077514648
-1.1429266929626465,-0.043723564594984055,1.6911778450012207,138.55950927734375,43.059288024902344,162.32786560058594,0.5738047957420349,45.254188537597656,19.053848266601562,49.10184097290039,19.060401916503906,8.121811866760254,17.162925720214844,0.11716324696317315,27,se3_log_map,0.7200299501419067,1.4607750177383423,-0.9798495769500732,-0.810712456703186,158.06683349609375,200.9058837890625,6.69918966293335
-1.1450330018997192,-0.04561334103345871,1.6894294023513794,140.00643920898438,43.673553466796875,160.9464111328125,0.6085043549537659,45.09333419799805,18.992938995361328,48.929954528808594,18.999570846557617,5.158086776733398,16.782861709594727,0.11604236997663975,27,se3_log_map,0.7081937789916992,1.4574127197265625,-0.981670081615448,-0.8113719820976257,158.55311584472656,200.5125274658203,4.502808570861816
-1.1484757661819458,-0.04712987318634987,1.6878340244293213,142.20355224609375,44.49828338623047,160.12342834472656,0.6237057447433472,44.38587188720703,19.62466812133789,48.53074264526367,19.631290435791016,4.045192241668701,16.601593017578125,0.11855818703770638,27,se3_log_map,0.7179254293441772,1.453869342803955,-0.9844242334365845,-0.8132504224777222,159.74893188476562,201.01710510253906,2.026719331741333
-1.1523911952972412,-0.04785414785146713,1.6884608268737793,143.43075561523438,44.795448303222656,160.18011474609375,0.6053738594055176,43.28216552734375,20.11484146118164,47.727901458740234,20.12118148803711,5.444829940795898,16.512964248657227,0.11725653999019414,27,se3_log_map,0.7163019180297852,1.4524797201156616,-0.9882915616035461,-0.8152578473091125,160.7386932373047,201.68099975585938,0.8327199816703796
-1.1551958322525024,-0.048532404005527496,1.6891934871673584,143.91433715820312,44.91462707519531,159.82571411132812,0.5956317186355591,42.5911979675293,20.20809555053711,47.14209747314453,20.21416473388672,6.778654098510742,16.592191696166992,0.11739629396470264,27,se3_log_map,0.7136803269386292,1.451630711555481,-0.9913027882575989,-0.8164538741111755,161.02890014648438,201.64820861816406,-0.0441320464015007
-1.1570897102355957,-0.04895186424255371,1.690226435661316,143.7517547607422,44.80924987792969,159.39749145507812,0.5998944640159607,42.133697509765625,19.946943283081055,46.61682891845703,19.952730178833008,7.124775409698486,16.600990295410156,0.11715983599424362,27,se3_log_map,0.7132587432861328,1.4515353441238403,-0.9936031699180603,-0.8170810341835022,160.84828186035156,201.20828247070312,-0.41822513937950134
-1.1579735279083252,-0.04893695190548897,1.6911450624465942,143.08470153808594,44.51110076904297,158.99293518066406,0.6095142364501953,41.8499641418457,19.42360496520996,46.137794494628906,19.429170608520508,6.669142723083496,16.51050567626953,0.11767363001126796,27,se3_log_map,0.7125593423843384,1.4519809484481812,-0.9947938919067383,-0.8173738121986389,160.31007385253906,200.51231384277344,-0.27096468210220337
-1.1587746143341064,-0.048687051981687546,1.6925952434539795,142.06832885742188,44.077186584472656,158.68994140625,0.6170097589492798,41.51704406738281,18.772775650024414,45.56404495239258,18.77810287475586,5.9249958992004395,16.38176727294922,0.11835489101940766,27,se3_log_map,0.7136420011520386,1.4530439376831055,-0.996073842048645,-0.817588746547699,159.5853271484375,199.72418212890625,0.19590143859386444
-1.160772442817688,-0.04805617406964302,1.6960890293121338,140.69192504882812,43.43809509277344,159.10020446777344,0.6240556836128235,40.74068069458008,18.15477752685547,44.60268020629883,18.15980339050293,4.64515495300293,16.075862884521484,0.11776312399888411,27,se3_log_map,0.7156066298484802,1.4555916786193848,-0.9992009997367859,-0.8181752562522888,158.98191833496094,199.3484344482422,1.2330278158187866
-1.1628941297531128,-0.04684773087501526,1.6992162466049194,139.43785095214844,42.7779541015625,159.8902587890625,0.6273528337478638,39.76382827758789,17.76575469970703,43.552085876464844,17.770517349243164,4.03775691986084,15.75886058807373,0.11497953097568825,27,se3_log_map,0.7140121459960938,1.4581016302108765,-1.0019171237945557,-0.8194617629051208,158.5838165283203,199.35369873046875,2.5197112560272217
-1.1656334400177002,-0.045546870678663254,1.7019041776657104,138.74305725097656,42.3226318359375,160.74464416503906,0.6310511827468872,38.606327056884766,17.693777084350586,42.46784973144531,17.698280334472656,4.156533718109131,15.498571395874023,0.11611462698783726,27,se3_log_map,0.7021164894104004,1.4600428342819214,-1.0048500299453735,-0.821438193321228,158.5568389892578,199.74383544921875,3.391697406768799
-1.1689958572387695,-0.04435190558433533,1.704002022743225,138.7161407470703,42.107337951660156,161.60177612304688,0.6350239515304565,37.32862854003906,17.868579864501953,41.38493347167969,17.872825622558594,4.236319065093994,15.241194725036621,0.11510335101047531,27,se3_log_map,0.7024879455566406,1.4611716270446777,-1.008032202720642,-0.8240051865577698,158.96051025390625,200.50369262695312,3.728818416595459
-1.1712853908538818,-0.04317152500152588,1.7043735980987549,138.82705688476562,42.011634826660156,162.07797241210938,0.6294745802879333,36.242671966552734,17.99852752685547,40.46576690673828,18.0025634765625,4.464350700378418,15.107772827148438,0.11627210100414231,27,se3_log_map,0.7062174081802368,1.4612501859664917,-1.0094267129898071,-0.8264706134796143,159.20468139648438,201.0318145751953,3.884290933609009
-1.1727032661437988,-0.04223516210913658,1.7036821842193604,138.82228088378906,41.98131561279297,162.07400512695312,0.6278291344642639,35.40254211425781,17.970211029052734,39.702247619628906,17.974058151245117,4.436777114868164,15.070547103881836,0.1163230849779211,27,se3_log_map,0.7052653431892395,1.4606345891952515,-1.0096756219863892,-0.8285312056541443,159.1070556640625,201.1272735595703,3.8938992023468018
-1.1735575199127197,-0.041468821465969086,1.7028889656066895,138.3029327392578,41.84015655517578,161.9940185546875,0.6320414543151855,34.78052520751953,17.84004783630371,39.08903121948242,17.84375,4.573838233947754,15.122368812561035,0.11534933804068714,27,se3_log_map,0.703799307346344,1.4600601196289062,-1.009507656097412,-0.830087423324585,158.61489868164062,200.8988494873047,4.282589435577393
-1.173444151878357,-0.04078639671206474,1.7007790803909302,137.8826904296875,41.788414001464844,161.42149353027344,0.638675332069397,34.3533821105957,17.56764793395996,38.58467483520508,17.571224212646484,4.369692325592041,15.21824836730957,0.11618304799776524,27,se3_log_map,0.7032067775726318,1.4587054252624512,-1.007886528968811,-0.8314003348350525,157.92172241210938,200.3151397705078,4.402180194854736
-1.1733222007751465,-0.04014682397246361,1.697925090789795,137.86190795898438,41.82928466796875,160.85110473632812,0.6432678699493408,33.933292388916016,17.358530044555664,38.11544418334961,17.361976623535156,4.038044452667236,15.256693840026855,0.11562060000142083,27,se3_log_map,0.700800359249115,1.4566986560821533,-1.0058740377426147,-0.8329631686210632,157.49510192871094,199.90135192871094,4.300444602966309
-1.1748028993606567,-0.03942393139004707,1.6967967748641968,137.74533081054688,41.63935852050781,161.4779510498047,0.6414681673049927,33.162757873535156,17.475435256958008,37.48545837402344,17.478759765625,4.385900497436523,15.117959976196289,0.11417275795247406,27,se3_log_map,0.7021114826202393,1.455569863319397,-1.0060447454452515,-0.8350656032562256,157.64263916015625,200.32530212402344,4.983360290527344
-1.1758533716201782,-0.038893699645996094,1.6950095891952515,137.87173461914062,41.555274963378906,161.8330078125,0.6392631530761719,32.577117919921875,17.552431106567383,37.004817962646484,17.555665969848633,4.55546760559082,14.98818302154541,0.11566639097873122,27,se3_log_map,0.7067047953605652,1.4539438486099243,-1.0056136846542358,-0.8369603157043457,157.8236541748047,200.6393280029297,5.352331161499023
-1.1758333444595337,-0.038603175431489944,1.6914559602737427,138.36248779296875,41.70904541015625,161.2095489501953,0.6466583013534546,32.38016128540039,17.360517501831055,36.740474700927734,17.36367416381836,3.56742262840271,14.89578628540039,0.11524999397806823,27,se3_log_map,0.7029654383659363,1.451106071472168,-1.0034855604171753,-0.8385815620422363,157.75375366210938,200.3739471435547,4.898987293243408
-1.1754283905029297,-0.03848453611135483,1.6876658201217651,138.63986206054688,41.873252868652344,160.3061065673828,0.653440535068512,32.462913513183594,17.11278533935547,36.69725036621094,17.11590576171875,2.887988805770874,14.944957733154297,0.11456915404414758,27,se3_log_map,0.7100414037704468,1.4481201171875,-1.0010143518447876,-0.8398735523223877,157.39573669433594,199.80215454101562,4.415555953979492
-1.1741173267364502,-0.03847227245569229,1.6822583675384521,139.2992401123047,42.159332275390625,158.5343475341797,0.6449179649353027,33.041683197021484,16.739072799682617,37.03983688354492,16.742246627807617,3.7385902404785156,15.171662330627441,0.11556751502212137,27,se3_log_map,0.7126375436782837,1.4440538883209229,-0.9969927668571472,-0.8410486578941345,156.91078186035156,198.68614196777344,3.223371982574463
-1.1737282276153564,-0.03829362988471985,1.6784026622772217,139.60169982910156,42.290924072265625,157.32937622070312,0.6274191737174988,33.366703033447266,16.544849395751953,37.243377685546875,16.548053741455078,5.174476623535156,15.443521499633789,0.11678887601010501,27,se3_log_map,0.7121392488479614,1.4410358667373657,-0.9944666028022766,-0.842413067817688,156.47381591796875,197.8708038330078,2.529186725616455
-1.1742550134658813,-0.03750556707382202,1.67607843875885,139.7986602783203,42.29932403564453,156.71218872070312,0.6180499792098999,33.13182830810547,16.423606872558594,36.979087829589844,16.4267578125,5.94161319732666,15.534331321716309,0.11584003100870177,27,se3_log_map,0.7125669717788696,1.4393081665039062,-0.9931660294532776,-0.8443360328674316,156.2441864013672,197.50718688964844,2.1800904273986816
-1.1760119199752808,-0.03602079674601555,1.675871729850769,139.76986694335938,42.091468811035156,157.01498413085938,0.6294937133789062,32.07670974731445,16.281227111816406,35.97212600708008,16.284143447875977,5.357094764709473,15.22854995727539,0.11611760302912444,27,se3_log_map,0.7115316390991211,1.439298152923584,-0.9936131238937378,-0.8468924164772034,156.30996704101562,197.77601623535156,2.468698263168335
-1.1791027784347534,-0.033960700035095215,1.6779828071594238,139.39109802246094,41.661285400390625,158.4122314453125,0.6476459503173828,30.182170867919922,16.22564697265625,34.26711654663086,16.228214263916016,3.408643960952759,14.61419677734375,0.11498981999466196,27,se3_log_map,0.7114205360412598,1.4410640001296997,-0.9960793852806091,-0.8499820232391357,156.65675354003906,198.77003479003906,3.5714643001556396
-1.1822259426116943,-0.031901825219392776,1.681033968925476,138.4332733154297,41.103416442871094,159.9540252685547,0.6521342992782593,28.229061126708984,16.28226661682129,32.58822250366211,16.28449058532715,2.4684717655181885,14.254907608032227,0.11604223801987246,27,se3_log_map,0.7142865657806396,1.4436098337173462,-0.9991048574447632,-0.8527246117591858,156.6792449951172,199.62860107421875,5.105385780334473
-1.184829592704773,-0.030291451141238213,1.6842178106307983,136.94186401367188,40.512908935546875,161.20404052734375,0.6461523771286011,26.661468505859375,16.470823287963867,31.33882713317871,16.4727840423584,4.670759677886963,14.322779655456543,0.11530515999766067,27,se3_log_map,0.6995891332626343,1.4462095499038696,-1.0020538568496704,-0.8546715974807739,156.20677185058594,200.01840209960938,6.791481971740723
-1.1865828037261963,-0.029048440977931023,1.686657190322876,135.9983367919922,40.32377624511719,160.58645629882812,0.6471806764602661,25.576786041259766,16.212434768676758,30.282257080078125,16.214216232299805,4.895688533782959,14.499048233032227,0.11459546897094697,27,se3_log_map,0.7025641202926636,1.4482983350753784,-1.0041230916976929,-0.8559929132461548,155.25320434570312,199.30848693847656,6.667594909667969
-1.1881024837493896,-0.027950558811426163,1.6876004934310913,135.85824584960938,40.268341064453125,159.65476989746094,0.6491007804870605,24.70241928100586,15.813860893249512,29.330663681030273,15.815518379211426,4.207455158233643,14.441606521606445,0.11545455100713298,27,se3_log_map,0.700715959072113,1.4491301774978638,-1.0052562952041626,-0.857611894607544,154.73904418945312,198.6417236328125,5.919600009918213
