ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
68,6.09,2.03,成功,成功,-0.7982,0.1492,1.8735,247.22,27.00,112.73,localnccdicezyl_xray068_se3_log_map.csv
5,35.85,49.24,失败,失败,-0.8458,0.0616,1.9310,239.89,21.59,78.67,localnccdicezyl_xray005_se3_log_map.csv
62,4.51,5.16,成功,成功,-0.7040,0.1893,1.8822,261.55,29.55,107.18,localnccdicezyl_xray062_se3_log_map.csv
18,3.76,1.31,成功,成功,-0.8168,0.1288,1.8710,251.45,18.03,116.50,localnccdicezyl_xray018_se3_log_map.csv
47,3.46,3.73,成功,成功,-0.8588,0.1230,1.8905,241.89,15.42,116.32,localnccdicezyl_xray047_se3_log_map.csv
33,1.47,1.30,成功,成功,-0.8298,0.1355,1.8735,247.35,18.40,115.97,localnccdicezyl_xray033_se3_log_map.csv
80,8.75,2.32,成功,成功,-0.8062,0.1669,1.8756,244.69,29.13,108.81,localnccdicezyl_xray080_se3_log_map.csv
27,3.63,2.12,成功,成功,-0.7925,0.1498,1.8665,250.63,25.88,113.81,localnccdicezyl_xray027_se3_log_map.csv
76,8.56,1.77,成功,成功,-0.7972,0.1549,1.8692,246.38,29.69,112.13,localnccdicezyl_xray076_se3_log_map.csv
10,8.05,3.13,成功,成功,-0.8563,0.1212,1.8917,246.82,12.91,99.88,localnccdicezyl_xray010_se3_log_map.csv
13,1.97,1.56,成功,成功,-0.8045,0.1444,1.8670,249.97,23.22,114.82,localnccdicezyl_xray013_se3_log_map.csv
38,1.54,1.34,成功,成功,-0.8093,0.1561,1.8826,249.05,22.40,111.45,localnccdicezyl_xray038_se3_log_map.csv
26,1.01,0.87,成功,成功,-0.8112,0.1412,1.8718,249.20,21.70,114.89,localnccdicezyl_xray026_se3_log_map.csv
3,2.37,0.94,成功,成功,-0.8083,0.1418,1.8747,248.21,26.21,98.15,localnccdicezyl_xray003_se3_log_map.csv
77,5.84,2.91,成功,成功,-0.8320,0.1231,1.8732,242.66,22.92,117.32,localnccdicezyl_xray077_se3_log_map.csv
85,10.91,3.06,失败,成功,-0.7815,0.1687,1.8662,247.60,33.56,110.43,localnccdicezyl_xray085_se3_log_map.csv
78,6.21,1.62,成功,成功,-0.8032,0.1552,1.8699,246.80,27.11,111.60,localnccdicezyl_xray078_se3_log_map.csv
28,2.28,2.17,成功,成功,-0.8201,0.1132,1.8703,247.90,21.60,120.08,localnccdicezyl_xray028_se3_log_map.csv
