ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
40,29.30,17.39,失败,失败,-0.9909,0.1580,1.8229,207.76,28.61,110.18,ssimzyl_xray040_se3_log_map.csv
27,67.95,80.66,失败,失败,-0.9324,0.0559,1.8560,196.86,35.76,81.55,ssimzyl_xray027_se3_log_map.csv
57,40.41,27.51,失败,失败,-1.0041,0.2782,1.8687,199.05,32.51,109.18,ssimzyl_xray057_se3_log_map.csv
15,107.31,149.78,失败,失败,-1.0135,0.2396,2.0066,173.17,-23.17,186.58,ssimzyl_xray015_se3_log_map.csv
2,59.27,58.12,失败,失败,-0.8954,-0.0534,1.8202,210.99,45.73,101.83,ssimzyl_xray002_se3_log_map.csv
79,44.90,16.61,失败,失败,-0.9917,0.2507,1.8524,199.13,43.43,104.54,ssimzyl_xray079_se3_log_map.csv
71,70.84,88.89,失败,失败,-0.9857,0.3373,1.9279,209.12,23.74,137.58,ssimzyl_xray071_se3_log_map.csv
56,94.49,113.99,失败,失败,-0.9265,0.0496,1.8246,193.32,53.16,62.54,ssimzyl_xray056_se3_log_map.csv
48,50.34,61.69,失败,失败,-1.0193,0.1656,1.9501,240.07,-12.05,141.33,ssimzyl_xray048_se3_log_map.csv
35,74.38,101.77,失败,失败,-1.0743,0.2520,1.9602,194.47,-10.37,159.22,ssimzyl_xray035_se3_log_map.csv
78,70.27,57.52,失败,失败,-0.9706,0.1095,1.9203,155.41,32.16,119.34,ssimzyl_xray078_se3_log_map.csv
42,62.41,58.34,失败,失败,-0.9094,0.0425,1.8916,179.91,32.35,110.54,ssimzyl_xray042_se3_log_map.csv
74,42.73,57.16,失败,失败,-1.0259,0.2189,1.9111,221.65,9.17,132.16,ssimzyl_xray074_se3_log_map.csv
85,30.51,40.58,失败,失败,-0.9975,0.1031,1.8661,235.45,12.70,109.88,ssimzyl_xray085_se3_log_map.csv
10,47.32,63.62,失败,失败,-0.9776,0.0303,1.8520,219.56,18.30,79.59,ssimzyl_xray010_se3_log_map.csv
46,62.52,59.81,失败,失败,-0.9422,0.0699,1.8859,191.78,42.76,93.54,ssimzyl_xray046_se3_log_map.csv
22,21.02,16.86,失败,失败,-0.9055,0.2415,1.8498,228.69,29.84,103.20,ssimzyl_xray022_se3_log_map.csv
36,38.04,25.99,失败,失败,-1.0132,0.2774,1.8844,199.49,31.12,106.48,ssimzyl_xray036_se3_log_map.csv
11,45.11,30.13,失败,失败,-0.9619,0.0982,1.8700,201.79,40.31,108.67,ssimzyl_xray011_se3_log_map.csv
20,78.32,99.57,失败,失败,-1.0292,0.1417,1.9835,197.28,24.47,182.28,ssimzyl_xray020_se3_log_map.csv
25,138.62,161.67,失败,失败,-0.8578,0.0573,1.8062,142.01,60.67,51.19,ssimzyl_xray025_se3_log_map.csv
9,31.76,40.09,失败,失败,-0.9756,0.0817,1.8459,216.19,19.46,85.87,ssimzyl_xray009_se3_log_map.csv
43,44.18,55.62,失败,失败,-1.0683,0.2730,1.9569,205.72,11.69,120.07,ssimzyl_xray043_se3_log_map.csv
76,85.71,89.31,失败,失败,-1.0549,0.1202,2.0097,145.70,28.16,169.63,ssimzyl_xray076_se3_log_map.csv
17,109.92,122.87,失败,失败,-0.8421,0.0168,1.8380,170.89,54.82,71.63,ssimzyl_xray017_se3_log_map.csv
73,40.04,26.48,失败,失败,-1.0159,0.2762,1.8887,198.66,33.06,107.03,ssimzyl_xray073_se3_log_map.csv
18,55.87,54.99,失败,失败,-0.9454,0.0716,1.8679,208.08,45.72,96.79,ssimzyl_xray018_se3_log_map.csv
41,45.70,37.96,失败,失败,-1.0018,0.1074,1.9325,176.72,18.29,139.29,ssimzyl_xray041_se3_log_map.csv
32,46.64,48.84,失败,失败,-0.9535,0.0824,1.8671,189.65,22.55,101.65,ssimzyl_xray032_se3_log_map.csv
83,32.13,38.00,失败,失败,-0.9893,0.1332,1.9353,244.03,2.04,118.32,ssimzyl_xray083_se3_log_map.csv
19,29.62,37.01,失败,失败,-0.9568,0.0871,1.8954,209.74,12.66,101.70,ssimzyl_xray019_se3_log_map.csv
52,44.06,37.87,失败,失败,-1.0018,0.2846,1.9271,200.40,31.22,113.21,ssimzyl_xray052_se3_log_map.csv
86,49.82,67.22,失败,失败,-1.0214,0.1473,1.9477,232.12,0.30,151.86,ssimzyl_xray086_se3_log_map.csv
50,37.81,15.76,失败,失败,-0.9876,0.2537,1.8538,202.44,36.93,103.51,ssimzyl_xray050_se3_log_map.csv
37,167.16,225.73,失败,失败,-0.7880,0.0409,1.7399,165.88,60.38,4.91,ssimzyl_xray037_se3_log_map.csv
61,43.01,16.20,失败,失败,-0.9845,0.2252,1.7761,198.87,41.51,104.95,ssimzyl_xray061_se3_log_map.csv
7,101.39,131.75,失败,失败,-0.9128,-0.0110,1.7887,204.68,48.69,45.38,ssimzyl_xray007_se3_log_map.csv
65,64.40,72.45,失败,失败,-0.7157,0.2255,1.8066,202.34,42.40,72.65,ssimzyl_xray065_se3_log_map.csv
67,42.86,43.87,失败,失败,-1.0234,0.1524,1.9371,202.26,23.94,141.23,ssimzyl_xray067_se3_log_map.csv
53,16.91,18.96,失败,失败,-0.9050,0.2241,1.7964,229.84,23.72,89.48,ssimzyl_xray053_se3_log_map.csv
87,41.57,40.24,失败,失败,-0.9297,0.1294,1.9045,187.86,15.54,127.05,ssimzyl_xray087_se3_log_map.csv
66,37.66,48.90,失败,失败,-0.9370,0.2086,1.7865,238.94,37.52,85.70,ssimzyl_xray066_se3_log_map.csv
8,75.56,102.51,失败,失败,-1.0815,0.1377,1.9613,217.00,-9.63,166.54,ssimzyl_xray008_se3_log_map.csv
47,80.09,96.93,失败,失败,-1.0498,0.1443,1.9680,188.80,28.99,180.72,ssimzyl_xray047_se3_log_map.csv
33,80.64,110.68,失败,失败,-0.9637,0.0231,1.8270,218.98,22.97,65.03,ssimzyl_xray033_se3_log_map.csv
4,54.59,75.11,失败,失败,-0.9647,0.0552,1.9291,195.77,-11.41,160.49,ssimzyl_xray004_se3_log_map.csv
58,20.98,21.81,失败,失败,-0.9807,0.1366,1.9067,203.89,5.29,128.08,ssimzyl_xray058_se3_log_map.csv
51,68.94,92.60,失败,失败,-0.9373,0.0414,1.8407,211.49,24.10,73.69,ssimzyl_xray051_se3_log_map.csv
12,108.09,131.52,失败,失败,-0.9714,-0.0057,1.8506,202.77,65.03,62.39,ssimzyl_xray012_se3_log_map.csv
70,130.63,155.11,失败,失败,-0.7360,0.1447,1.7841,164.60,68.28,39.82,ssimzyl_xray070_se3_log_map.csv
29,55.06,51.57,失败,失败,-0.9805,0.0761,1.8696,199.50,42.12,98.12,ssimzyl_xray029_se3_log_map.csv
30,95.94,127.78,失败,失败,-1.0139,0.2165,1.9991,165.91,1.75,179.32,ssimzyl_xray030_se3_log_map.csv
72,63.27,14.72,失败,失败,-0.9618,0.1434,1.8993,191.83,59.46,118.78,ssimzyl_xray072_se3_log_map.csv
68,125.35,126.08,失败,失败,-0.8559,0.1624,1.8290,133.13,63.95,69.82,ssimzyl_xray068_se3_log_map.csv
38,53.00,37.57,失败,失败,-0.9578,0.0915,1.9048,175.15,28.07,128.10,ssimzyl_xray038_se3_log_map.csv
13,51.43,60.52,失败,失败,-0.9701,0.0871,1.8522,215.07,37.05,90.64,ssimzyl_xray013_se3_log_map.csv
54,30.78,23.46,失败,失败,-0.9822,0.0862,1.9209,190.07,12.78,131.00,ssimzyl_xray054_se3_log_map.csv
24,57.60,52.48,失败,失败,-0.9309,0.0926,1.8483,189.25,38.04,97.31,ssimzyl_xray024_se3_log_map.csv
77,149.30,203.54,失败,失败,-0.8352,0.0801,1.7783,215.43,85.75,1.86,ssimzyl_xray077_se3_log_map.csv
34,53.58,61.22,失败,失败,-1.0192,0.1083,1.9522,170.22,7.70,153.83,ssimzyl_xray034_se3_log_map.csv
64,63.25,59.78,失败,失败,-1.0041,0.2979,1.9275,224.24,-45.83,110.54,ssimzyl_xray064_se3_log_map.csv
26,54.02,69.38,失败,失败,-0.9735,0.1108,1.9408,187.26,4.14,162.98,ssimzyl_xray026_se3_log_map.csv
16,74.70,80.15,失败,失败,-1.0160,0.1242,1.9705,159.77,22.52,164.66,ssimzyl_xray016_se3_log_map.csv
82,31.64,38.85,失败,失败,-0.9345,0.0948,1.9234,209.45,15.26,98.95,ssimzyl_xray082_se3_log_map.csv
75,57.52,20.35,失败,失败,-0.9946,0.2187,1.7952,192.98,54.73,107.11,ssimzyl_xray075_se3_log_map.csv
63,35.67,45.26,失败,失败,-0.9382,0.1500,1.9218,204.74,-21.44,133.70,ssimzyl_xray063_se3_log_map.csv
44,42.17,34.72,失败,失败,-0.9712,0.0917,1.9032,180.57,18.28,123.55,ssimzyl_xray044_se3_log_map.csv
14,71.46,94.81,失败,失败,-0.9333,0.0478,1.8231,204.36,24.87,72.45,ssimzyl_xray014_se3_log_map.csv
80,30.21,40.12,失败,失败,-0.9445,0.2643,1.8658,202.30,-4.13,104.56,ssimzyl_xray080_se3_log_map.csv
55,46.23,51.87,失败,失败,-0.9554,0.1106,1.9184,178.87,7.60,135.92,ssimzyl_xray055_se3_log_map.csv
81,42.15,53.96,失败,失败,-0.9079,0.2386,1.9062,200.42,5.04,121.52,ssimzyl_xray081_se3_log_map.csv
49,12.70,14.33,失败,失败,-0.8129,0.1927,1.8246,246.62,31.49,96.91,ssimzyl_xray049_se3_log_map.csv
59,165.72,226.26,失败,失败,-1.0019,-0.0953,1.8231,206.25,64.38,16.77,ssimzyl_xray059_se3_log_map.csv
6,60.86,74.50,失败,失败,-1.0372,0.0912,1.9112,236.00,-17.98,156.77,ssimzyl_xray006_se3_log_map.csv
5,36.31,28.81,失败,失败,-0.8992,0.0397,1.8607,218.05,37.89,102.95,ssimzyl_xray005_se3_log_map.csv
60,109.84,119.43,失败,失败,-0.9469,0.0049,1.8121,191.00,75.17,69.99,ssimzyl_xray060_se3_log_map.csv
3,189.80,261.39,失败,失败,-0.7389,-0.0379,1.6900,183.53,79.03,-21.77,ssimzyl_xray003_se3_log_map.csv
45,100.61,115.96,失败,失败,-1.0616,0.1245,1.9899,151.82,32.92,192.91,ssimzyl_xray045_se3_log_map.csv
62,72.90,86.92,失败,失败,-0.9030,0.3172,1.8892,264.10,-15.05,126.98,ssimzyl_xray062_se3_log_map.csv
