ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
23,8.47,7.78,成功,成功,-0.9376,0.1206,1.9098,221.03,4.77,120.51,ssimdicezyl_xray023_se3_log_map.csv
7,9.45,8.14,成功,成功,-0.9512,0.1044,1.9226,225.47,2.13,104.27,ssimdicezyl_xray007_se3_log_map.csv
18,8.65,9.11,成功,成功,-0.9386,0.1181,1.8916,227.06,9.28,115.58,ssimdicezyl_xray018_se3_log_map.csv
79,26.14,12.83,失败,失败,-0.8951,0.1838,1.8850,218.92,33.15,101.10,ssimdicezyl_xray079_se3_log_map.csv
70,20.42,17.88,失败,失败,-0.7968,0.1894,1.8901,235.78,29.12,115.58,ssimdicezyl_xray070_se3_log_map.csv
11,9.95,10.05,成功,失败,-0.9510,0.1214,1.9064,224.74,4.93,112.89,ssimdicezyl_xray011_se3_log_map.csv
67,17.22,19.33,失败,失败,-0.9315,0.1144,1.9078,225.41,18.99,109.01,ssimdicezyl_xray067_se3_log_map.csv
54,22.38,28.55,失败,失败,-0.9008,0.0840,1.9372,217.46,6.86,141.18,ssimdicezyl_xray054_se3_log_map.csv
30,12.73,3.76,失败,成功,-0.8370,0.2019,1.8899,234.61,27.68,102.50,ssimdicezyl_xray030_se3_log_map.csv
15,15.40,16.69,失败,失败,-0.9679,0.1173,1.9019,228.20,3.39,110.68,ssimdicezyl_xray015_se3_log_map.csv
38,13.34,17.06,失败,失败,-0.9278,0.1186,1.9037,230.55,12.56,108.89,ssimdicezyl_xray038_se3_log_map.csv
12,9.22,8.10,成功,成功,-0.9414,0.1280,1.8967,222.59,12.51,115.10,ssimdicezyl_xray012_se3_log_map.csv
17,11.24,12.01,失败,失败,-0.9398,0.1234,1.9007,229.11,5.58,110.62,ssimdicezyl_xray017_se3_log_map.csv
56,12.08,13.95,失败,失败,-0.9405,0.0953,1.9236,229.03,7.77,115.61,ssimdicezyl_xray056_se3_log_map.csv
52,12.36,5.70,失败,成功,-0.9008,0.1936,1.9069,223.48,19.64,102.85,ssimdicezyl_xray052_se3_log_map.csv
82,25.08,14.91,失败,失败,-0.9100,0.1952,1.8822,218.16,31.50,97.57,ssimdicezyl_xray082_se3_log_map.csv
58,10.93,8.00,失败,成功,-0.9353,0.1312,1.9080,220.81,14.31,114.10,ssimdicezyl_xray058_se3_log_map.csv
47,10.21,9.39,失败,成功,-0.9523,0.1143,1.9145,225.89,3.29,115.32,ssimdicezyl_xray047_se3_log_map.csv
57,9.71,8.04,成功,成功,-0.9438,0.1165,1.9147,218.95,9.06,118.59,ssimdicezyl_xray057_se3_log_map.csv
86,10.44,12.53,失败,失败,-0.8772,0.0995,1.8872,238.95,20.42,117.59,ssimdicezyl_xray086_se3_log_map.csv
35,11.41,9.01,失败,成功,-0.9810,0.1429,1.9101,220.89,-2.09,111.36,ssimdicezyl_xray035_se3_log_map.csv
14,8.64,7.98,成功,成功,-0.9460,0.1192,1.9011,225.20,4.11,115.40,ssimdicezyl_xray014_se3_log_map.csv
73,12.36,2.20,失败,成功,-0.8184,0.1616,1.8892,239.55,29.77,110.28,ssimdicezyl_xray073_se3_log_map.csv
36,9.16,9.36,成功,成功,-0.9488,0.1260,1.9018,222.32,7.91,112.95,ssimdicezyl_xray036_se3_log_map.csv
55,10.76,11.29,失败,失败,-0.9642,0.1345,1.9192,220.11,6.96,109.53,ssimdicezyl_xray055_se3_log_map.csv
34,11.56,13.04,失败,失败,-0.9557,0.1307,1.9071,224.56,7.27,109.10,ssimdicezyl_xray034_se3_log_map.csv
5,8.65,8.45,成功,成功,-0.9479,0.1006,1.9108,222.11,8.05,103.47,ssimdicezyl_xray005_se3_log_map.csv
51,7.40,7.48,成功,成功,-0.9247,0.1348,1.9156,226.61,9.70,112.13,ssimdicezyl_xray051_se3_log_map.csv
78,16.47,17.56,失败,失败,-0.9006,0.1170,1.8984,230.48,22.60,109.72,ssimdicezyl_xray078_se3_log_map.csv
4,10.22,10.44,失败,失败,-0.8917,-0.0240,1.8994,234.10,17.00,136.04,ssimdicezyl_xray004_se3_log_map.csv
60,15.47,10.71,失败,失败,-0.9562,0.1145,1.8955,215.04,16.01,116.20,ssimdicezyl_xray060_se3_log_map.csv
48,9.45,8.41,成功,成功,-0.9604,0.1375,1.9257,221.65,0.71,112.23,ssimdicezyl_xray048_se3_log_map.csv
42,10.02,8.00,失败,成功,-0.9268,0.1271,1.9058,223.82,14.88,114.53,ssimdicezyl_xray042_se3_log_map.csv
63,40.46,30.55,失败,失败,-0.9548,0.1066,1.9476,241.12,-16.87,100.63,ssimdicezyl_xray063_se3_log_map.csv
8,9.42,9.65,成功,成功,-0.9453,0.0878,1.9056,226.71,9.66,104.74,ssimdicezyl_xray008_se3_log_map.csv
13,20.36,26.60,失败,失败,-0.9443,0.1297,1.8926,233.34,11.17,101.32,ssimdicezyl_xray013_se3_log_map.csv
43,16.73,11.37,失败,失败,-0.8999,0.1968,1.8906,224.65,25.59,97.93,ssimdicezyl_xray043_se3_log_map.csv
81,21.09,8.13,失败,成功,-0.8375,0.2032,1.8717,230.84,35.62,99.42,ssimdicezyl_xray081_se3_log_map.csv
21,12.63,5.65,失败,成功,-0.8816,0.1153,1.8891,227.01,19.88,119.89,ssimdicezyl_xray021_se3_log_map.csv
24,37.80,47.61,失败,失败,-0.9299,0.0719,1.9450,214.27,20.00,95.75,ssimdicezyl_xray024_se3_log_map.csv
87,16.34,9.15,失败,成功,-0.8921,0.1328,1.8820,226.31,24.57,112.67,ssimdicezyl_xray087_se3_log_map.csv
53,11.80,6.28,失败,成功,-0.8093,0.2128,1.8870,256.90,17.38,92.81,ssimdicezyl_xray053_se3_log_map.csv
45,36.05,46.60,失败,失败,-0.9887,0.1633,1.9116,214.00,9.44,141.84,ssimdicezyl_xray045_se3_log_map.csv
59,10.90,11.37,失败,失败,-0.9632,0.1167,1.9135,221.76,4.77,113.11,ssimdicezyl_xray059_se3_log_map.csv
