ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
9,13.51,15.39,失败,失败,-0.8491,0.1031,1.7478,253.25,17.80,103.36,weilncczyl_xray009_se3_log_map.csv
40,1.25,1.49,成功,成功,-0.8286,0.1067,1.8577,246.95,19.28,122.09,weilncczyl_xray040_se3_log_map.csv
29,29.52,12.08,失败,失败,-0.8907,0.0394,1.8913,213.76,29.35,143.54,weilncczyl_xray029_se3_log_map.csv
78,3.56,2.77,成功,成功,-0.8227,0.1035,1.8558,246.10,21.73,121.88,weilncczyl_xray078_se3_log_map.csv
14,51.90,43.12,失败,失败,-0.8947,0.1638,1.9067,258.66,-25.27,134.85,weilncczyl_xray014_se3_log_map.csv
16,1.80,1.72,成功,成功,-0.7948,0.1238,1.8587,252.35,23.18,118.86,weilncczyl_xray016_se3_log_map.csv
46,15.07,12.20,失败,失败,-0.9957,0.0814,1.9166,204.31,2.06,131.73,weilncczyl_xray046_se3_log_map.csv
36,1.44,1.59,成功,成功,-0.8223,0.1090,1.8575,248.58,19.07,121.21,weilncczyl_xray036_se3_log_map.csv
43,2.80,1.98,成功,成功,-0.8319,0.1072,1.8622,245.20,20.51,121.67,weilncczyl_xray043_se3_log_map.csv
72,11.92,11.85,失败,失败,-0.9896,0.0892,1.9181,208.86,-4.95,127.92,weilncczyl_xray072_se3_log_map.csv
62,4.81,2.66,成功,成功,-0.7693,0.1174,1.8644,254.16,19.99,120.55,weilncczyl_xray062_se3_log_map.csv
6,2.36,1.87,成功,成功,-0.8099,0.1018,1.8609,251.55,22.36,106.55,weilncczyl_xray006_se3_log_map.csv
58,1.56,1.05,成功,成功,-0.8229,0.1119,1.8614,246.61,20.14,121.03,weilncczyl_xray058_se3_log_map.csv
13,2.29,2.25,成功,成功,-0.7877,0.1198,1.8571,253.93,23.29,119.75,weilncczyl_xray013_se3_log_map.csv
32,1.14,1.01,成功,成功,-0.8167,0.1143,1.8576,248.62,21.09,120.76,weilncczyl_xray032_se3_log_map.csv
19,2.10,2.01,成功,成功,-0.7905,0.1222,1.8601,252.95,23.60,118.97,weilncczyl_xray019_se3_log_map.csv
41,2.14,1.71,成功,成功,-0.8340,0.1086,1.8589,245.34,19.81,121.83,weilncczyl_xray041_se3_log_map.csv
53,1.99,1.17,成功,成功,-0.8217,0.1114,1.8624,246.44,20.55,121.16,weilncczyl_xray053_se3_log_map.csv
75,62.58,21.69,失败,失败,-0.9288,0.1178,1.8658,186.44,53.63,115.47,weilncczyl_xray075_se3_log_map.csv
77,3.33,3.03,成功,成功,-0.8195,0.1044,1.8537,246.56,21.47,121.55,weilncczyl_xray077_se3_log_map.csv
17,2.22,2.17,成功,成功,-0.7889,0.1199,1.8575,253.67,23.18,119.76,weilncczyl_xray017_se3_log_map.csv
64,4.02,3.05,成功,成功,-0.7720,0.1172,1.8672,253.39,21.16,121.26,weilncczyl_xray064_se3_log_map.csv
3,2.17,2.49,成功,成功,-0.8205,0.1016,1.8699,248.27,22.57,105.33,weilncczyl_xray003_se3_log_map.csv
37,1.52,1.73,成功,成功,-0.8300,0.1124,1.8594,246.39,19.48,120.52,weilncczyl_xray037_se3_log_map.csv
2,2.37,2.68,成功,成功,-0.8167,0.0958,1.8723,249.46,22.38,106.46,weilncczyl_xray002_se3_log_map.csv
82,3.31,2.95,成功,成功,-0.8263,0.1114,1.8600,245.83,21.30,119.89,weilncczyl_xray082_se3_log_map.csv
33,65.17,17.95,失败,失败,-0.9828,0.1514,1.8392,177.25,53.28,114.42,weilncczyl_xray033_se3_log_map.csv
11,60.41,24.63,失败,失败,-0.8829,0.1765,1.8960,188.56,51.09,107.92,weilncczyl_xray011_se3_log_map.csv
57,14.39,12.01,失败,失败,-0.9996,0.0764,1.9194,203.96,0.53,131.45,weilncczyl_xray057_se3_log_map.csv
80,49.43,22.18,失败,失败,-0.9178,0.1148,1.8720,194.95,42.38,113.92,weilncczyl_xray080_se3_log_map.csv
20,2.18,1.72,成功,成功,-0.7948,0.1208,1.8574,251.62,23.89,119.60,weilncczyl_xray020_se3_log_map.csv
61,1.13,1.26,成功,成功,-0.8153,0.1102,1.8561,248.63,20.05,121.57,weilncczyl_xray061_se3_log_map.csv
83,64.26,26.56,失败,失败,-0.8833,0.1458,1.8998,184.85,51.08,118.79,weilncczyl_xray083_se3_log_map.csv
86,2.47,2.78,成功,成功,-0.8212,0.1195,1.8595,247.85,21.61,118.42,weilncczyl_xray086_se3_log_map.csv
70,2.92,2.55,成功,成功,-0.8219,0.1115,1.8547,246.25,21.13,120.26,weilncczyl_xray070_se3_log_map.csv
18,2.31,1.86,成功,成功,-0.7971,0.1112,1.8569,253.36,21.18,121.22,weilncczyl_xray018_se3_log_map.csv
35,2.85,2.02,成功,成功,-0.8517,0.0988,1.8481,244.37,14.49,123.93,weilncczyl_xray035_se3_log_map.csv
54,12.00,11.33,失败,失败,-1.0002,0.0860,1.9112,208.31,-6.78,129.68,weilncczyl_xray054_se3_log_map.csv
50,2.40,2.45,成功,成功,-0.8135,0.1016,1.8601,247.67,20.58,123.04,weilncczyl_xray050_se3_log_map.csv
49,32.48,44.65,失败,失败,-0.9151,0.0443,1.9297,230.32,5.46,166.52,weilncczyl_xray049_se3_log_map.csv
