ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
72,3.90,2.10,成功,成功,-0.8120,0.1419,1.8807,246.95,24.00,113.17,zyl_xray072_se3_log_map.csv
40,2.89,1.99,成功,成功,-0.8266,0.1419,1.8886,248.76,18.05,113.15,zyl_xray040_se3_log_map.csv
35,3.45,2.00,成功,成功,-0.8268,0.1466,1.8911,248.93,17.55,111.79,zyl_xray035_se3_log_map.csv
42,3.02,2.10,成功,成功,-0.8277,0.1465,1.8798,245.61,21.92,113.56,zyl_xray042_se3_log_map.csv
2,2.30,2.41,成功,成功,-0.8454,0.1321,1.8920,243.77,20.13,98.14,zyl_xray002_se3_log_map.csv
57,2.48,1.17,成功,成功,-0.8178,0.1409,1.8885,249.67,18.68,113.42,zyl_xray057_se3_log_map.csv
20,4.76,1.52,成功,成功,-0.8126,0.1516,1.8724,246.44,24.86,113.37,zyl_xray020_se3_log_map.csv
37,1.63,1.95,成功,成功,-0.8285,0.1482,1.8817,246.54,20.28,112.81,zyl_xray037_se3_log_map.csv
25,3.10,1.51,成功,成功,-0.8205,0.1445,1.8875,250.00,18.33,113.09,zyl_xray025_se3_log_map.csv
79,5.45,1.79,成功,成功,-0.8196,0.1409,1.8727,244.89,24.58,114.31,zyl_xray079_se3_log_map.csv
14,2.08,1.22,成功,成功,-0.8090,0.1540,1.8813,250.80,20.22,111.45,zyl_xray014_se3_log_map.csv
45,4.04,2.80,成功,成功,-0.8375,0.1368,1.8946,247.44,16.12,113.58,zyl_xray045_se3_log_map.csv
75,6.79,1.91,成功,成功,-0.8118,0.1440,1.8759,245.12,26.46,113.45,zyl_xray075_se3_log_map.csv
61,1.65,0.89,成功,成功,-0.8187,0.1454,1.8860,248.78,19.09,112.83,zyl_xray061_se3_log_map.csv
18,3.64,1.01,成功,成功,-0.8126,0.1439,1.8810,251.67,18.56,113.34,zyl_xray018_se3_log_map.csv
78,5.20,1.76,成功,成功,-0.8119,0.1436,1.8774,246.13,25.20,113.36,zyl_xray078_se3_log_map.csv
34,4.56,2.15,成功,成功,-0.8314,0.1463,1.8936,248.77,16.07,111.59,zyl_xray034_se3_log_map.csv
29,1.45,1.21,成功,成功,-0.8125,0.1490,1.8845,250.02,20.73,112.17,zyl_xray029_se3_log_map.csv
39,1.65,1.98,成功,成功,-0.8262,0.1493,1.8853,246.87,20.61,112.20,zyl_xray039_se3_log_map.csv
17,2.87,1.20,成功,成功,-0.8113,0.1489,1.8850,251.33,19.53,112.13,zyl_xray017_se3_log_map.csv
65,8.93,8.04,成功,成功,-0.7101,0.2217,1.9574,259.13,24.25,91.36,zyl_xray065_se3_log_map.csv
66,12.41,10.94,失败,失败,-0.7243,0.1489,1.8977,253.47,33.44,113.89,zyl_xray066_se3_log_map.csv
77,6.31,1.41,成功,成功,-0.8028,0.1493,1.8727,246.59,26.93,113.03,zyl_xray077_se3_log_map.csv
63,8.52,3.21,成功,成功,-0.7676,0.1416,1.9046,257.22,18.38,112.89,zyl_xray063_se3_log_map.csv
48,1.02,1.20,成功,成功,-0.8151,0.1416,1.8917,248.70,20.38,113.58,zyl_xray048_se3_log_map.csv
4,5.63,4.36,成功,成功,-0.8659,0.1248,1.8967,242.86,15.34,98.13,zyl_xray004_se3_log_map.csv
28,2.64,1.30,成功,成功,-0.8204,0.1497,1.8833,249.58,18.70,111.92,zyl_xray028_se3_log_map.csv
11,2.04,2.03,成功,成功,-0.7966,0.1573,1.8778,252.55,22.55,111.35,zyl_xray011_se3_log_map.csv
33,1.90,1.57,成功,成功,-0.8271,0.1502,1.8847,247.68,18.76,111.71,zyl_xray033_se3_log_map.csv
38,1.73,1.68,成功,成功,-0.8222,0.1467,1.8896,248.45,19.58,112.39,zyl_xray038_se3_log_map.csv
41,1.53,1.92,成功,成功,-0.8303,0.1424,1.8841,246.37,19.77,113.71,zyl_xray041_se3_log_map.csv
64,2.20,2.30,成功,成功,-0.7617,0.1365,1.8977,252.72,24.50,116.01,zyl_xray064_se3_log_map.csv
55,3.09,1.43,成功,成功,-0.8271,0.1413,1.8905,248.26,17.09,113.07,zyl_xray055_se3_log_map.csv
3,2.05,2.34,成功,成功,-0.8418,0.1348,1.8865,244.07,21.28,97.82,zyl_xray003_se3_log_map.csv
23,1.27,1.50,成功,成功,-0.8181,0.1475,1.8803,248.87,20.76,112.84,zyl_xray023_se3_log_map.csv
