alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-0.8986955285072327,-0.03753971680998802,1.924321174621582,249.3386688232422,-33.01393127441406,158.41685485839844,0.4184010922908783,70.55863952636719,56.933349609375,90.663818359375,56.98069763183594,0.3341417880146764,3,se3_log_map,0.6395402550697327,1.7590490579605103,-0.8768468499183655,-0.5616966485977173,294.308349609375,158.9270782470703,-0.3858559727668762
-0.8888940811157227,-0.03711339086294174,1.9286348819732666,243.5390167236328,-35.74006652832031,156.24417114257812,0.3887512981891632,75.2153091430664,52.31580352783203,91.6203384399414,52.36534881591797,0.1424367490108125,3,se3_log_map,0.6207192540168762,1.7665492296218872,-0.8693467378616333,-0.5541966557502747,289.30841064453125,153.9273223876953,4.614146709442139
-0.893345057964325,-0.03406190872192383,1.9295560121536255,245.72940063476562,-35.383934020996094,158.82632446289062,0.4504595696926117,72.82213592529297,54.492210388183594,90.95309448242188,54.540557861328125,0.1346229300252162,3,se3_log_map,0.623303234577179,1.767183780670166,-0.8721965551376343,-0.5596309304237366,291.98419189453125,157.57835388183594,4.15238618850708
-0.8986243605613708,-0.029514575377106667,1.9343856573104858,246.37046813964844,-36.780555725097656,163.166259765625,0.4399440586566925,69.91091918945312,56.408634185791016,89.83023071289062,56.45386505126953,0.13335567602189258,3,se3_log_map,0.6283072233200073,1.771720051765442,-0.876664400100708,-0.565640926361084,294.6334533691406,161.756103515625,6.633116245269775
-0.8969597816467285,-0.027433378621935844,1.9380786418914795,243.9888458251953,-38.168312072753906,164.148681640625,0.47419100999832153,70.65304565429688,55.10706329345703,89.6026840209961,55.151390075683594,0.1338574739638716,3,se3_log_map,0.6177773475646973,1.776551604270935,-0.8755479454994202,-0.5652299523353577,293.3355712890625,161.70809936523438,9.637392044067383
-0.8932569622993469,-0.025890203192830086,1.9418787956237793,240.66795349121094,-39.82049560546875,164.3406982421875,0.49105963110923767,72.4897689819336,53.06036376953125,89.83412170410156,53.104400634765625,0.13224866898963228,3,se3_log_map,0.612834632396698,1.7819461822509766,-0.8728587627410889,-0.5629680752754211,291.0012512207031,160.45436096191406,13.141302108764648
-0.8901973366737366,-0.025269456207752228,1.9436781406402588,238.720458984375,-40.63121795654297,163.9013214111328,0.4590584635734558,74.03431701660156,51.72422409057617,90.3132095336914,51.768699645996094,0.13235885003814474,3,se3_log_map,0.613666296005249,1.7849013805389404,-0.8704172968864441,-0.5609548687934875,289.35052490234375,159.23464965820312,14.874974250793457
-0.8902362585067749,-0.024515192955732346,1.9451838731765747,238.6590118408203,-40.894187927246094,164.24195861816406,0.4616389572620392,74.03280639648438,51.8939094543457,90.40925598144531,51.93814468383789,0.13482526899315417,3,se3_log_map,0.6151750087738037,1.7865787744522095,-0.8706791400909424,-0.5611712336540222,289.51739501953125,159.51316833496094,15.217912673950195
-0.892271876335144,-0.024235475808382034,1.9455642700195312,239.9240264892578,-40.53770446777344,164.875,0.48302340507507324,73.02042388916016,52.925331115722656,90.18355560302734,52.96897506713867,0.13292082701809704,3,se3_log_map,0.6112731695175171,1.7863414287567139,-0.872596025466919,-0.5626157522201538,290.7820129394531,160.64918518066406,14.319022178649902
-0.8945847153663635,-0.02471272274851799,1.944962501525879,241.7012481689453,-39.84925079345703,165.22381591796875,0.4842618703842163,71.85997009277344,54.17364501953125,89.99243927001953,54.21704864501953,0.1913252220256254,3,se3_log_map,0.6135259866714478,1.784787654876709,-0.8747668266296387,-0.5638652443885803,292.2976989746094,161.68577575683594,12.71883487701416
-0.8953145742416382,-0.025819875299930573,1.9430522918701172,243.2803955078125,-39.05010986328125,164.770751953125,0.4804198741912842,71.48013305664062,55.034568786621094,90.21204376220703,55.0788688659668,0.13518518500495702,3,se3_log_map,0.6196594834327698,1.7823230028152466,-0.8752403259277344,-0.5639559030532837,293.2673034667969,161.8456573486328,10.965764999389648
-0.8944358825683594,-0.02755269780755043,1.940673589706421,244.2191925048828,-38.22773742675781,163.47283935546875,0.4863468408584595,71.9324722290039,55.17447280883789,90.65596008300781,55.22040557861328,0.13333572499686852,3,se3_log_map,0.618722140789032,1.7797178030014038,-0.8743510842323303,-0.5625836253166199,293.3379211425781,160.97396850585938,9.265109062194824
-0.892561137676239,-0.028860637918114662,1.9389654397964478,244.41278076171875,-37.81193542480469,162.15968322753906,0.4890592694282532,72.89664459228516,54.88090133666992,91.24600982666016,54.92847442626953,0.13422262098174542,3,se3_log_map,0.6163100600242615,1.778249979019165,-0.872589647769928,-0.5607338547706604,292.86871337890625,159.75253295898438,8.38629150390625
-0.8905187249183655,-0.029559025540947914,1.9378496408462524,244.35308837890625,-37.659019470214844,161.0563201904297,0.48219066858291626,73.93575286865234,54.546142578125,91.87914276123047,54.59518051147461,0.13272829196648672,3,se3_log_map,0.6174392104148865,1.7776418924331665,-0.8705947399139404,-0.5591413378715515,292.3297424316406,158.6182098388672,7.977635860443115
