alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.1149910688400269,-0.1448376178741455,1.8286415338516235,237.1072235107422,44.823890686035156,140.1927490234375,0.511267900466919,56.74555969238281,33.423152923583984,65.85716247558594,33.44124984741211,8.3831148147583,11.596625328063965,0.13615581416524947,34,se3_log_map,0.6897753477096558,1.5336791276931763,-1.0795412063598633,-0.6480454206466675,245.5752410888672,191.7332000732422,-84.49436950683594
-1.1251567602157593,-0.14569422602653503,1.8258233070373535,243.43545532226562,40.863563537597656,135.76809692382812,0.5314110517501831,59.519020080566406,30.128093719482422,66.7099380493164,30.1451416015625,6.520655155181885,16.008420944213867,0.1508870671968907,34,se3_log_map,0.6793146729469299,1.5261790752410889,-1.0870412588119507,-0.6555452346801758,250.57518005371094,186.7331085205078,-89.49433135986328
-1.1187769174575806,-0.14796963334083557,1.8237268924713135,241.92779541015625,39.41578674316406,132.04763793945312,0.4963337779045105,59.51028823852539,27.911762237548828,65.73081970214844,27.928335189819336,7.007652282714844,16.256284713745117,0.14418289484456182,34,se3_log_map,0.6775429248809814,1.525985836982727,-1.0818853378295898,-0.6501286029815674,248.59152221679688,181.73361206054688,-89.14366149902344
-1.1195287704467773,-0.1458934098482132,1.826606035232544,241.21395874023438,39.39043426513672,133.9229736328125,0.5496972799301147,58.33890914916992,29.538597106933594,65.39080047607422,29.555437088012695,4.942327976226807,15.715819358825684,0.14578300388529897,34,se3_log_map,0.6698371171951294,1.5292879343032837,-1.0828543901443481,-0.6511545777320862,248.73463439941406,183.3435821533203,-87.80474090576172
-1.1226954460144043,-0.14260351657867432,1.8306570053100586,241.6638946533203,39.245216369628906,136.71238708496094,0.5801769495010376,57.024227142333984,31.89832305908203,65.33961486816406,31.91542625427246,3.9832961559295654,16.364717483520508,0.1422135049942881,34,se3_log_map,0.670173168182373,1.5331844091415405,-1.0857994556427002,-0.6543660163879395,250.21664428710938,186.08218383789062,-86.89728546142578
-1.1243155002593994,-0.13972601294517517,1.8341615200042725,241.34320068359375,39.14579772949219,139.05831909179688,0.5374598503112793,55.721900939941406,33.99617004394531,65.2738037109375,34.0134162902832,6.592779636383057,17.17839813232422,0.14384526596404612,34,se3_log_map,0.6789374947547913,1.5370774269104004,-1.0874195098876953,-0.6564037799835205,250.8792724609375,188.24612426757812,-85.61583709716797
-1.1233208179473877,-0.13846302032470703,1.8362350463867188,240.1302947998047,39.01861572265625,139.93405151367188,0.5257413983345032,54.73577117919922,34.96780776977539,64.95191955566406,34.98509979248047,8.021735191345215,17.247304916381836,0.14331358508206904,34,se3_log_map,0.681126594543457,1.5400166511535645,-1.0869686603546143,-0.6558919548988342,250.28269958496094,188.70834350585938,-84.29973602294922
-1.1214759349822998,-0.13873375952243805,1.8365294933319092,239.4582061767578,39.109275817871094,139.44290161132812,0.5294221639633179,54.423824310302734,34.600860595703125,64.49164581298828,34.617942810058594,7.618143081665039,16.71849250793457,0.14236288308165967,34,se3_log_map,0.6828663945198059,1.5409512519836426,-1.0857021808624268,-0.6542625427246094,249.518798828125,188.10345458984375,-84.10711669921875
-1.1198278665542603,-0.13999821245670319,1.8355236053466797,239.89649963378906,39.33233642578125,138.0712890625,0.5511701703071594,54.737789154052734,33.24446487426758,64.04232788085938,33.2611198425293,5.629632949829102,16.054576873779297,0.1456981971859932,34,se3_log_map,0.6768466830253601,1.540122389793396,-1.0844634771347046,-0.652484118938446,249.28182983398438,186.98277282714844,-85.17853546142578
-1.1191080808639526,-0.14172954857349396,1.8337340354919434,241.51211547851562,39.529579162597656,136.31906127929688,0.5814744830131531,55.549888610839844,31.433935165405273,63.82697296142578,31.45009994506836,3.5368967056274414,15.920636177062988,0.14467917894944549,34,se3_log_map,0.6675816774368286,1.5379383563995361,-1.083855390548706,-0.6512842178344727,249.88522338867188,185.74920654296875,-87.2447738647461
