idx,ssim,ssim_ori,tre,mpd,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
0,0.7458353042602539,0.7286748290061951,8.280645370483398,8.84514331817627,2.0648053094184204,6.750380039215088,19.241771697998047,6.750727653503418,-1.1276129484176636,0.10819980502128601,1.841225504875183,195.39898681640625,95.57621002197266,119.4659423828125,1.6399916410446167,-0.9539186358451843,-0.877359926700592,195.39898681640625,95.57621002197266,119.4659423828125
1,0.7164008617401123,0.7061166763305664,15.976673126220703,20.008424758911133,9.854540107320503,28.934289932250977,90.73417663574219,28.962488174438477,-0.9679024815559387,0.08526002615690231,1.8800954818725586,213.6873016357422,107.67399597167969,108.43949127197266,1.6399916410446167,-0.9539186358451843,-0.877359926700592,213.6873016357422,107.67399597167969,108.43949127197266
2,0.7687169313430786,0.7476466298103333,12.283141136169434,8.462109565734863,3.4802545896882973,12.634236335754395,32.89405059814453,12.635614395141602,-1.1131867170333862,0.12077546864748001,1.861965298652649,195.01229858398438,100.74592590332031,114.0622787475586,1.6399916410446167,-0.9539186358451843,-0.877359926700592,195.01229858398438,100.74592590332031,114.0622787475586
3,0.7174984812736511,0.7121353149414062,16.52411460876465,14.064055442810059,11.374331291540456,33.14325714111328,104.64691162109375,33.193336486816406,-0.9372469186782837,0.09792126715183258,1.8770174980163574,214.77996826171875,113.96947479248047,111.81022644042969,1.6399916410446167,-0.9539186358451843,-0.877359926700592,214.77996826171875,113.96947479248047,111.81022644042969
4,0.7788784503936768,0.7626391053199768,7.713232517242432,8.079146385192871,4.33804832136082,10.724122047424316,39.346282958984375,10.72672176361084,-1.0900816917419434,0.1176227480173111,1.8722084760665894,200.05662536621094,97.07504272460938,114.88170623779297,1.6399916410446167,-0.9539186358451843,-0.877359926700592,200.05662536621094,97.07504272460938,114.88170623779297
5,0.7534976005554199,0.7308732271194458,23.26288604736328,12.354769706726074,3.195697543430787,23.459074020385742,36.442466735839844,23.45960807800293,-1.1096669435501099,0.09929820895195007,1.8608028888702393,191.9080810546875,111.9919204711914,114.47039031982422,1.6399916410446167,-0.9539186358451843,-0.877359926700592,191.9080810546875,111.9919204711914,114.47039031982422
6,0.7631664276123047,0.7385169267654419,16.508512496948242,8.276338577270508,6.20960058625198,21.20095443725586,58.188716888427734,21.20993995666504,-1.065330982208252,0.15311704576015472,1.8817780017852783,198.62486267089844,106.84053039550781,108.11683654785156,1.6399916410446167,-0.9539186358451843,-0.877359926700592,198.62486267089844,106.84053039550781,108.11683654785156
7,0.7757007479667664,0.7475897669792175,22.357526779174805,9.027933120727539,6.586758168068749,25.729995727539062,62.97633361816406,25.743206024169922,-1.0521609783172607,0.16099026799201965,1.873008370399475,198.48707580566406,113.01398468017578,110.50021362304688,1.6399916410446167,-0.9539186358451843,-0.877359926700592,198.48707580566406,113.01398468017578,110.50021362304688
8,0.7680138349533081,0.741260290145874,19.653133392333984,9.613262176513672,4.522971376459361,22.89931297302246,45.63209915161133,22.904512405395508,-1.0978927612304688,0.15432555973529816,1.8546184301376343,193.47396850585938,108.09355163574219,106.00193786621094,1.6399916410446167,-0.9539186358451843,-0.877359926700592,193.47396850585938,108.09355163574219,106.00193786621094
9,0.7713818550109863,0.7471230030059814,32.62535858154297,8.99837589263916,5.82449856552476,33.33042907714844,60.781883239746094,33.34174728393555,-1.1128853559494019,0.1768185794353485,1.8695976734161377,185.366455078125,118.66889953613281,106.1777572631836,1.6399916410446167,-0.9539186358451843,-0.877359926700592,185.366455078125,118.66889953613281,106.1777572631836
10,0.7395820617675781,0.7024294137954712,47.5399055480957,16.96335792541504,2.515229510839215,48.36567306518555,53.1132698059082,48.366546630859375,-1.1486353874206543,0.07909328490495682,1.8408361673355103,176.2358856201172,132.36196899414062,130.5395965576172,1.6399916410446167,-0.9539186358451843,-0.877359926700592,176.2358856201172,132.36196899414062,130.5395965576172
11,0.7386952638626099,0.7104043960571289,49.47722244262695,17.354778289794922,3.3534672634462113,49.401084899902344,57.418460845947266,49.40480041503906,-1.1762195825576782,0.09556999802589417,1.8385282754898071,173.01272583007812,132.6133575439453,128.41659545898438,1.6399916410446167,-0.9539186358451843,-0.877359926700592,173.01272583007812,132.6133575439453,128.41659545898438
12,0.7552401423454285,0.7270755767822266,57.564937591552734,32.23424530029297,9.313492081727766,47.65180206298828,94.2146987915039,47.70389175415039,-1.155050277709961,0.2546387016773224,1.832482099533081,176.30242919921875,133.20306396484375,119.95774841308594,1.6399916410446167,-0.9539186358451843,-0.877359926700592,176.30242919921875,133.20306396484375,119.95774841308594
13,0.7616725564002991,0.7432485818862915,25.089794158935547,13.053683280944824,8.530275491715697,34.939727783203125,82.23261260986328,34.97217559814453,-1.1326102018356323,0.24451106786727905,1.8248438835144043,188.3638153076172,110.67222595214844,91.83076477050781,1.6399916410446167,-0.9539186358451843,-0.877359926700592,188.3638153076172,110.67222595214844,91.83076477050781
14,0.788532018661499,0.7526693344116211,26.603111267089844,7.223442077636719,7.183751234964307,32.40501403808594,70.57002258300781,32.42631530761719,-1.0981354713439941,0.2176348865032196,1.8233699798583984,188.1844482421875,112.91832733154297,97.57766723632812,1.6399916410446167,-0.9539186358451843,-0.877359926700592,188.1844482421875,112.91832733154297,97.57766723632812
15,0.7518695592880249,0.7300669550895691,21.625272750854492,9.983509063720703,9.6569327898766,34.180259704589844,90.94046020507812,34.22114944458008,-1.0869660377502441,0.2568418085575104,1.8462287187576294,194.6717071533203,109.62008666992188,91.3826675415039,1.6399916410446167,-0.9539186358451843,-0.877359926700592,194.6717071533203,109.62008666992188,91.3826675415039
16,0.7665592432022095,0.740649938583374,26.667579650878906,9.319683074951172,9.617657344337575,37.07259750366211,91.7529525756836,37.11639404296875,-1.074697732925415,0.2541835904121399,1.837870717048645,193.0482177734375,114.76762390136719,92.00045776367188,1.6399916410446167,-0.9539186358451843,-0.877359926700592,193.0482177734375,114.76762390136719,92.00045776367188
17,0.7643294334411621,0.7375580668449402,23.327423095703125,9.691863059997559,5.183285214697139,27.40631103515625,52.88764190673828,27.415735244750977,-1.1202315092086792,0.1838105171918869,1.8310455083847046,189.0341033935547,109.97755432128906,101.7306137084961,1.6399916410446167,-0.9539186358451843,-0.877359926700592,189.0341033935547,109.97755432128906,101.7306137084961
