idx,ssim,ssim_ori,tre,mpd,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
2,0.8168329000473022,0.696456789970398,13.349437713623047,16.201805114746094,2.97381977714865,14.565160751342773,29.759418487548828,14.566073417663574,-1.1963573694229126,-0.005563228391110897,1.7357491254806519,143.06936645507812,18.779525756835938,165.61883544921875,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,143.06936645507812,18.779525756835938,165.61883544921875
3,0.7975718975067139,0.680931568145752,14.890727043151855,17.253089904785156,3.3317254052802268,17.64869499206543,34.012054443359375,17.65044403076172,-1.1956167221069336,-0.020442480221390724,1.7335283756256104,144.14276123046875,17.99530792236328,168.5259246826172,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,144.14276123046875,17.99530792236328,168.5259246826172
4,0.8277583122253418,0.7367503643035889,16.03569221496582,19.414974212646484,4.380942346480608,14.480935096740723,40.881561279296875,14.484207153320312,-1.1419053077697754,0.016040505841374397,1.7238775491714478,140.77069091796875,36.436988830566406,163.71434020996094,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,140.77069091796875,36.436988830566406,163.71434020996094
5,0.8188972473144531,0.7168154120445251,6.183624267578125,9.510985374450684,3.5323152750893745,11.072186470031738,32.75347900390625,11.073920249938965,-1.1741002798080444,-0.022379925474524498,1.721808671951294,144.28826904296875,27.010711669921875,163.5720977783203,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,144.28826904296875,27.010711669921875,163.5720977783203
6,0.8095607757568359,0.7098094820976257,7.202049255371094,10.808629035949707,4.083949984612605,11.50133991241455,37.449066162109375,11.503690719604492,-1.1589993238449097,-0.02132333070039749,1.7218989133834839,143.50477600097656,29.906150817871094,163.72848510742188,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,143.50477600097656,29.906150817871094,163.72848510742188
7,0.8104311227798462,0.6997765898704529,9.088285446166992,13.655156135559082,3.821245828076228,12.20524787902832,35.510108947753906,12.206681251525879,-1.157119631767273,-0.00758291594684124,1.7221357822418213,145.75546264648438,25.3756103515625,164.09054565429688,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,145.75546264648438,25.3756103515625,164.09054565429688
8,0.8343609571456909,0.743511438369751,7.323614120483398,11.302481651306152,4.090637231583669,13.890507698059082,38.30484390258789,13.893633842468262,-1.1855157613754272,-0.039418112486600876,1.7279194593429565,142.77687072753906,29.98699188232422,166.5395050048828,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,142.77687072753906,29.98699188232422,166.5395050048828
9,0.8063236474990845,0.7407256364822388,20.426319122314453,19.73625946044922,3.9051808753147332,22.825754165649414,41.0171012878418,22.830190658569336,-1.1662933826446533,-0.016451086848974228,1.7305935621261597,139.7560272216797,43.851463317871094,168.00123596191406,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,139.7560272216797,43.851463317871094,168.00123596191406
10,0.8026548027992249,0.7138134241104126,18.19233512878418,18.235288619995117,3.7225632549478833,16.843406677246094,36.59245300292969,16.846233367919922,-1.1495341062545776,0.016480866819620132,1.7117903232574463,138.98147583007812,39.911888122558594,163.28500366210938,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,138.98147583007812,39.911888122558594,163.28500366210938
11,0.8192949295043945,0.7502170205116272,21.548402786254883,21.01903533935547,4.378152569374494,19.95438575744629,43.103607177734375,19.95920181274414,-1.1409696340560913,0.01941630057990551,1.7215392589569092,139.0565948486328,42.87775421142578,164.46392822265625,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,139.0565948486328,42.87775421142578,164.46392822265625
12,0.8268712759017944,0.7411169409751892,9.30266284942627,13.139851570129395,3.902147615625087,15.32356071472168,37.34160232543945,15.326671600341797,-1.177262306213379,-0.034428250044584274,1.721672773361206,142.8037109375,32.65496063232422,167.07818603515625,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,142.8037109375,32.65496063232422,167.07818603515625
13,0.8221661448478699,0.7246120572090149,7.627377510070801,11.072747230529785,4.014242713188856,14.488875389099121,37.908966064453125,14.492016792297363,-1.1860238313674927,-0.04191072657704353,1.7214381694793701,142.68551635742188,31.470985412597656,166.694580078125,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,142.68551635742188,31.470985412597656,166.694580078125
14,0.819765567779541,0.7534945011138916,22.70569610595703,20.087820053100586,5.045133983638526,20.58099365234375,48.60002899169922,20.587766647338867,-1.1310032606124878,0.023829540237784386,1.72745943069458,139.0316162109375,44.46324157714844,162.98583984375,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,139.0316162109375,44.46324157714844,162.98583984375
15,0.8297593593597412,0.7397419214248657,10.21345043182373,14.802568435668945,3.141427155229427,13.994606971740723,30.779592514038086,13.996439933776855,-1.1819229125976562,-0.01821955479681492,1.7222883701324463,141.66038513183594,31.94329833984375,166.14540100097656,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,141.66038513183594,31.94329833984375,166.14540100097656
16,0.8259038925170898,0.7508970499038696,16.63503646850586,14.177474021911621,2.7089806674022663,16.97222137451172,29.10190773010254,16.973848342895508,-1.1708762645721436,0.0018193734576925635,1.7113217115402222,137.96554565429688,40.21338653564453,162.94969177246094,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,137.96554565429688,40.21338653564453,162.94969177246094
17,0.8351239562034607,0.7534371018409729,14.393433570861816,19.094541549682617,3.7136208434374223,14.91922664642334,35.67669677734375,14.92149543762207,-1.1539697647094727,0.005291546229273081,1.7197017669677734,141.78012084960938,34.83289337158203,165.51870727539062,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,141.78012084960938,34.83289337158203,165.51870727539062
18,0.8285753726959229,0.7352342009544373,7.395383358001709,10.403138160705566,3.7687987178926674,13.184739112854004,35.433345794677734,13.187289237976074,-1.1716828346252441,-0.028526300564408302,1.7189362049102783,143.89633178710938,31.77513885498047,164.71165466308594,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,143.89633178710938,31.77513885498047,164.71165466308594
19,0.8096177577972412,0.7202023863792419,17.56688690185547,17.47384262084961,4.446135791768705,13.904635429382324,41.21611022949219,13.908306121826172,-1.1443414688110352,0.0395163930952549,1.7236195802688599,139.14227294921875,38.740318298339844,159.499755859375,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,139.14227294921875,38.740318298339844,159.499755859375
20,0.8192213773727417,0.7156713008880615,7.163614273071289,11.315949440002441,3.536421038403253,12.657142639160156,33.35581970214844,12.659159660339355,-1.1747283935546875,-0.02562400884926319,1.71834135055542,144.1656951904297,28.172019958496094,165.20767211914062,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,144.1656951904297,28.172019958496094,165.20767211914062
21,0.8169941902160645,0.7125040292739868,6.041512489318848,8.989261627197266,3.629286257453227,12.133420944213867,33.91613006591797,12.135537147521973,-1.1820985078811646,-0.033079903572797775,1.7185899019241333,144.2919921875,26.71790313720703,164.74961853027344,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,144.2919921875,26.71790313720703,164.74961853027344
22,0.854473888874054,0.7246143817901611,16.31319236755371,17.738231658935547,3.367295500515279,18.600448608398438,34.77738571166992,18.6015567779541,-1.177046537399292,-0.013189159333705902,1.728847622871399,146.26022338867188,16.353477478027344,167.8927001953125,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,146.26022338867188,16.353477478027344,167.8927001953125
23,0.8100921511650085,0.7462476491928101,23.536216735839844,15.651285171508789,4.169665470922436,27.116548538208008,45.37989807128906,27.122419357299805,-1.1743671894073486,-0.04072718694806099,1.7178466320037842,136.61740112304688,48.81439208984375,168.175537109375,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,136.61740112304688,48.81439208984375,168.175537109375
24,0.8266301155090332,0.7357054948806763,16.087352752685547,24.708473205566406,3.9738888627421534,20.076576232910156,40.07097244262695,20.080720901489258,-1.1901565790176392,-0.024629132822155952,1.7430100440979004,140.65286254882812,32.53081512451172,172.57012939453125,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,140.65286254882812,32.53081512451172,172.57012939453125
25,0.8265157341957092,0.7489134669303894,15.630048751831055,16.822839736938477,3.220074433937049,18.384178161621094,33.5799560546875,18.38665199279785,-1.1697180271148682,-0.015137209556996822,1.7127383947372437,140.12643432617188,38.889305114746094,166.828125,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,140.12643432617188,38.889305114746094,166.828125
26,0.8316818475723267,0.7536338567733765,15.200913429260254,21.07735824584961,3.298892194166355,17.228979110717773,33.549991607666016,17.231245040893555,-1.1686761379241943,-0.006553875748068094,1.7226283550262451,141.04161071777344,34.86212158203125,168.368408203125,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,141.04161071777344,34.86212158203125,168.368408203125
27,0.8305618166923523,0.7699558734893799,18.79876708984375,17.69894790649414,4.4447645083494205,17.895017623901367,42.716880798339844,17.899662017822266,-1.147571325302124,0.011691747233271599,1.7356131076812744,139.48228454589844,41.301414489746094,163.12315368652344,1.4678001403808594,-1.0015000104904175,-0.9084000587463379,139.48228454589844,41.301414489746094,163.12315368652344
