alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.1557306051254272,-0.030453326180577278,1.7263247966766357,146.81393432617188,20.337066650390625,156.20968627929688,0.0,40.768836975097656,16.324966430664062,43.91585922241211,16.327573776245117,6.839439392089844,0.0,21,se3_log_map,0.8607534442061546,1.4932142496109009,-1.0017176866531372,-0.8171777725219727,146.81393432617188,20.337066650390625,156.20968627929688
-1.1584386825561523,-0.03212420269846916,1.7346559762954712,147.88565063476562,21.40505027770996,155.7156982421875,1.0952814385894656,43.930809020996094,15.422286987304688,46.559242248535156,15.42528247833252,7.15431547164917,0.09254050254821777,21,se3_log_map,0.8659024238586426,1.498294711112976,-1.0093750953674316,-0.814430296421051,147.88565063476562,21.40505027770996,155.7156982421875
-1.1838561296463013,0.038963157683610916,1.7755180597305298,145.90496826171875,20.864492416381836,156.46263122558594,1.150141946464537,50.122650146484375,15.77323055267334,52.545928955078125,15.776522636413574,14.063745498657227,0.07740139961242676,21,se3_log_map,0.8466944694519043,1.562633991241455,-1.0150455236434937,-0.8760111331939697,145.90496826171875,20.864492416381836,156.46263122558594
-1.1909477710723877,-0.04527073726058006,1.707573413848877,147.16004943847656,22.075767517089844,156.38214111328125,1.1976503172104742,47.02891159057617,14.85063648223877,49.31794738769531,14.856062889099121,10.755998611450195,0.0936732292175293,21,se3_log_map,0.8578063249588013,1.4548641443252563,-1.028151512145996,-0.8375777006149292,147.16004943847656,22.075767517089844,156.38214111328125
-1.1884832382202148,-0.00121614383533597,1.7601773738861084,146.8924102783203,23.489212036132812,157.62210083007812,1.2060363003718735,47.51618194580078,14.046302795410156,49.548828125,14.049930572509766,10.420724868774414,0.07742905616760254,21,se3_log_map,0.8413115739822388,1.52535080909729,-1.031821370124817,-0.8512660264968872,146.8924102783203,23.489212036132812,157.62210083007812
-1.2185022830963135,-0.024869054555892944,1.6869114637374878,141.83602905273438,29.711572647094727,157.8429718017578,1.2953987111298728,44.743812561035156,9.13610553741455,45.66702651977539,9.13949966430664,8.275649070739746,0.8677959442138672,21,se3_log_map,0.8653764128684998,1.4383002519607544,-1.0275099277496338,-0.8823208212852478,141.83602905273438,29.711572647094727,157.8429718017578
-1.2141790390014648,-0.00965228769928217,1.6889081001281738,138.50344848632812,30.61981201171875,155.50546264648438,1.3615222173970989,38.24870681762695,8.49807071685791,39.1813850402832,8.50046443939209,4.351666450500488,0.07711052894592285,21,se3_log_map,0.8949878811836243,1.4505845308303833,-1.0168166160583496,-0.8907279372215271,138.50344848632812,30.61981201171875,155.50546264648438
-1.21425461769104,-0.009348738007247448,1.6886955499649048,139.64674377441406,28.4107666015625,155.75363159179688,1.3630663001442231,38.173828125,9.500432014465332,39.33827209472656,9.503030776977539,4.462244510650635,0.09337210655212402,21,se3_log_map,0.8918213248252869,1.4505537748336792,-1.0165871381759644,-0.8911116123199463,139.64674377441406,28.4107666015625,155.75363159179688
-1.2277708053588867,-0.015043110586702824,1.6803210973739624,137.97958374023438,28.569625854492188,156.35205078125,1.3668286122394462,45.048377990722656,10.52147388458252,46.26075744628906,10.525421142578125,5.15271520614624,0.07688188552856445,21,se3_log_map,0.8929619193077087,1.4348808526992798,-1.0257291793823242,-0.8995667099952698,137.97958374023438,28.569625854492188,156.35205078125
-1.2322173118591309,-0.011430601589381695,1.6852078437805176,137.34738159179688,27.59035873413086,155.98780822753906,1.3693500841803368,45.972835540771484,11.379670143127441,47.36030578613281,11.384028434753418,4.894051551818848,0.09139275550842285,21,se3_log_map,0.8933120965957642,1.4393125772476196,-1.030158281326294,-0.9037386775016785,137.34738159179688,27.59035873413086,155.98780822753906
-1.2329106330871582,-0.020510172471404076,1.6818413734436035,137.5196990966797,27.71210479736328,157.1187286376953,1.3679684185242382,48.7393913269043,11.732342720031738,50.131587982177734,11.737375259399414,5.346558570861816,0.07754755020141602,21,se3_log_map,0.8917682766914368,1.4308605194091797,-1.033716082572937,-0.8982660174369812,137.5196990966797,27.71210479736328,157.1187286376953
-1.2340995073318481,-0.01556751411408186,1.6798717975616455,137.28173828125,27.732439041137695,156.69004821777344,1.3686396658751379,47.805179595947266,11.637805938720703,49.201358795166016,11.642624855041504,5.079682350158691,0.09120368957519531,21,se3_log_map,0.8921196460723877,1.4316736459732056,-1.0308150053024292,-0.9038931131362915,137.28173828125,27.732439041137695,156.69004821777344
-1.2298568487167358,-0.016163459047675133,1.6795928478240967,137.58131408691406,28.0476016998291,156.87416076660156,1.369359615810522,46.22342300415039,11.350897789001465,47.596717834472656,11.355305671691895,4.762793064117432,0.07657551765441895,21,se3_log_map,0.8912658095359802,1.4327824115753174,-1.0275890827178955,-0.9004612565040588,137.58131408691406,28.0476016998291,156.87416076660156
-1.2314406633377075,-0.01833001896739006,1.681857705116272,137.20135498046875,28.538110733032227,157.15284729003906,1.369134831650482,47.50477600097656,11.397470474243164,48.8529052734375,11.402158737182617,4.862515449523926,0.09202289581298828,21,se3_log_map,0.8910567760467529,1.4327551126480103,-1.0313599109649658,-0.898955225944519,137.20135498046875,28.538110733032227,157.15284729003906
-1.2311925888061523,-0.01818244531750679,1.6800057888031006,137.35324096679688,28.495933532714844,157.13063049316406,1.3692802968339297,47.35297393798828,11.32400894165039,48.68816375732422,11.32864761352539,4.916797161102295,0.07703733444213867,21,se3_log_map,0.8908253908157349,1.4313995838165283,-1.0300039052963257,-0.8996360898017883,137.35324096679688,28.495933532714844,157.13063049316406
-1.2296831607818604,-0.016529180109500885,1.681359887123108,137.3865203857422,28.59739875793457,156.9687042236328,1.3693533933810258,46.26254653930664,11.156083106994629,47.58866882324219,11.160432815551758,4.716817855834961,0.09167647361755371,21,se3_log_map,0.891399621963501,1.434107780456543,-1.0286786556243896,-0.8993366956710815,137.3865203857422,28.59739875793457,156.9687042236328
