alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-1.092467188835144,0.006931838113814592,1.7741060256958008,170.58349609375,-15.864120483398438,135.05569458007812,0.0,57.41832733154297,60.146121978759766,83.15299224853516,60.165958404541016,28.634212493896484,0.0,35,se3_log_map,0.8272923705955493,0.7312011259117399,1.5783940553665161,-0.9534657597541809,-0.7860397100448608,170.58349609375,-15.864120483398438,135.05569458007812
-1.08986496925354,0.01936824806034565,1.7853891849517822,170.44557189941406,-15.339163780212402,134.69784545898438,0.38662606477737427,61.28392028808594,59.733642578125,85.57936096191406,59.7540283203125,25.71279525756836,0.09513258934020996,35,se3_log_map,0.824590802192688,0.7342548370361328,1.5955657958984375,-0.950218677520752,-0.7907851338386536,170.44557189941406,-15.339163780212402,134.69784545898438
-1.0499037504196167,-0.009627163410186768,1.7753416299819946,168.1121063232422,-16.909147262573242,130.26588439941406,0.40115219354629517,73.74153137207031,61.456729888916016,95.99345397949219,61.50476837158203,44.16657257080078,0.06448721885681152,35,se3_log_map,0.8047953844070435,0.7377631664276123,1.5863347053527832,-0.9270527362823486,-0.7417537569999695,168.1121063232422,-16.909147262573242,130.26588439941406
-1.0687576532363892,0.013321463949978352,1.7776191234588623,167.97010803222656,-16.69159507751465,134.36216735839844,0.4873577952384949,64.88362121582031,59.94331741333008,88.33507537841797,59.97319412231445,31.252498626708984,0.08604717254638672,35,se3_log_map,0.8294760584831238,0.745938777923584,1.593291163444519,-0.9313346147537231,-0.7737526297569275,167.97010803222656,-16.69159507751465,134.36216735839844
-1.0823925733566284,-0.0006433427915908396,1.7579437494277954,166.34518432617188,-17.364383697509766,133.63583374023438,0.4970882534980774,55.565948486328125,60.10893249511719,81.85755157470703,60.13240432739258,35.77980041503906,0.07160425186157227,35,se3_log_map,0.832561731338501,0.7480813264846802,1.5641193389892578,-0.9406922459602356,-0.778428316116333,166.34518432617188,-17.364383697509766,133.63583374023438
-1.0912367105484009,-0.0021317617502063513,1.778051733970642,166.141845703125,-18.833087921142578,133.70018005371094,0.5014618635177612,60.749969482421875,61.313575744628906,86.31288146972656,61.335941314697266,34.65462112426758,0.09877777099609375,35,se3_log_map,0.8362860679626465,0.7496533393859863,1.5775035619735718,-0.9595591425895691,-0.7759819626808167,166.141845703125,-18.833087921142578,133.70018005371094
-1.0981357097625732,-0.012920677661895752,1.7825019359588623,164.9560089111328,-19.735946655273438,135.1837158203125,0.5054178237915039,62.97793960571289,61.29793930053711,87.88434600830078,61.31907653808594,35.129676818847656,0.06124591827392578,35,se3_log_map,0.8353989720344543,0.7507152557373047,1.5730713605880737,-0.9737620949745178,-0.7698619365692139,164.9560089111328,-19.735946655273438,135.1837158203125
-1.102679967880249,-0.0017719280440360308,1.7884718179702759,165.14501953125,-19.19330596923828,133.50917053222656,0.4896026849746704,62.39677429199219,61.33441925048828,87.49439239501953,61.353092193603516,33.81666564941406,0.0829157829284668,35,se3_log_map,0.8390867710113525,0.7515838742256165,1.582401990890503,-0.9746507406234741,-0.7803263664245605,165.14501953125,-19.19330596923828,133.50917053222656
-1.1070446968078613,-0.011316957883536816,1.7936688661575317,163.18946838378906,-20.820676803588867,134.88433837890625,0.5080485343933105,65.53680419921875,61.779911041259766,90.0656967163086,61.7978630065918,34.86135482788086,0.061300039291381836,35,se3_log_map,0.8331661224365234,0.7519814968109131,1.5801398754119873,-0.9863629937171936,-0.773144543170929,163.18946838378906,-20.820676803588867,134.88433837890625
-1.1517823934555054,-0.023024506866931915,1.7805334329605103,156.58438110351562,-24.13991928100586,135.99075317382812,0.5115457773208618,58.238182067871094,62.89267349243164,85.71566009521484,62.89873504638672,36.347328186035156,0.07265949249267578,35,se3_log_map,0.835780143737793,0.7623741030693054,1.5449892282485962,-1.0237743854522705,-0.7991607785224915,156.58438110351562,-24.13991928100586,135.99075317382812
-1.118804693222046,-0.029397400096058846,1.7999095916748047,159.83511352539062,-18.312660217285156,136.91661071777344,0.5118908882141113,70.42334747314453,57.96429443359375,91.21023559570312,57.98044967651367,36.06304931640625,0.06357693672180176,35,se3_log_map,0.8355761170387268,0.756227433681488,1.5711835622787476,-1.0094479322433472,-0.7632031440734863,159.83511352539062,-18.312660217285156,136.91661071777344
-1.1252741813659668,-0.029957812279462814,1.7838925123214722,156.4494171142578,-15.381566047668457,137.73837280273438,0.5109580159187317,63.14726257324219,54.1586799621582,83.19097900390625,54.17079162597656,36.139747619628906,0.08297252655029297,35,se3_log_map,0.8353894352912903,0.7623687982559204,1.5546015501022339,-1.0068384408950806,-0.7735376954078674,156.4494171142578,-15.381566047668457,137.73837280273438
-1.1418710947036743,-0.03707387298345566,1.7958329916000366,154.25958251953125,-14.843597412109375,137.72390747070312,0.5159429311752319,68.72164916992188,53.18488311767578,86.89820098876953,53.194419860839844,36.660682678222656,0.06288838386535645,35,se3_log_map,0.8390728831291199,0.7640059590339661,1.554215669631958,-1.0310029983520508,-0.7740946412086487,154.25958251953125,-14.843597412109375,137.72390747070312
-1.1392656564712524,-0.03428778424859047,1.7917636632919312,154.20709228515625,-13.706929206848145,137.37155151367188,0.5165218114852905,66.3948745727539,52.190120697021484,84.45169067382812,52.19967269897461,36.660667419433594,0.08189916610717773,35,se3_log_map,0.8396729826927185,0.7639760375022888,1.553348422050476,-1.0251660346984863,-0.7763469219207764,154.20709228515625,-13.706929206848145,137.37155151367188
-1.1421104669570923,-0.03133973851799965,1.791186809539795,154.120849609375,-14.977142333984375,136.9959259033203,0.5167574882507324,65.21575164794922,53.47221374511719,84.33487701416016,53.48070526123047,36.583187103271484,0.0540318489074707,35,se3_log_map,0.8386991024017334,0.7638843655586243,1.5533342361450195,-1.02571439743042,-0.7810729146003723,154.120849609375,-14.977142333984375,136.9959259033203
-1.1415961980819702,-0.03098154626786709,1.7915370464324951,154.44715881347656,-15.349570274353027,136.88368225097656,0.5166168212890625,65.293212890625,53.917118072509766,84.67738342285156,53.92577362060547,36.61123275756836,0.09764838218688965,35,se3_log_map,0.8393957614898682,0.7650235891342163,1.5540380477905273,-1.025275468826294,-0.780884325504303,154.44715881347656,-15.349570274353027,136.88368225097656
-1.141488790512085,-0.032644227147102356,1.7929418087005615,154.00900268554688,-14.319110870361328,136.93197631835938,0.5166419744491577,66.33233642578125,52.84621810913086,84.80979919433594,52.85511016845703,36.86130905151367,0.06130409240722656,35,se3_log_map,0.8395591974258423,0.7649126052856445,1.5543590784072876,-1.0268107652664185,-0.7788142561912537,154.00900268554688,-14.319110870361328,136.93197631835938
-1.1421750783920288,-0.03411692753434181,1.7938401699066162,154.0284423828125,-14.396150588989258,137.14988708496094,0.0,67.07252502441406,52.86466979980469,85.4013900756836,52.873680114746094,36.81645202636719,0.0,35,se3_log_map,0.8401549407138552,0.7656564507136004,1.554031491279602,-1.0286476612091064,-0.7776573300361633,154.0284423828125,-14.396150588989258,137.14988708496094
