id_number,file,ncc,ssim,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
11,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray011_se3_log_map.csv,0.848742247,0.8471542,0.174148902,1.325594425,0.038906837,1.364670873,1.549948692,-0.289208591,-1.534446239,209.9584656,340.9964294,271.8425903
23,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray023_se3_log_map.csv,0.861910582,0.877461076,0.237803429,1.547180176,0.254674076,1.306619883,1.106130838,-0.248737767,-1.417054892,244.0184937,269.4334106,249.1065521
38,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray038_se3_log_map.csv,0.828725338,0.831528306,0.069634974,1.481244802,0.152802474,1.209501982,1.733096123,-0.048383545,-1.513280988,190.5595703,361.5190735,206.5400238
43,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray043_se3_log_map.csv,0.766711354,0.787402034,0.757262349,1.735079169,0.592089814,4.729893208,1.67846024,-0.081457734,-1.542553425,112.2499542,382.9994507,212.0275879
6,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray006_se3_log_map.csv,0.850098252,0.846433997,0.216644675,1.671591759,0.183270997,1.225499749,1.383873582,-0.025211796,-1.503837824,230.5158691,306.7470398,201.9933929
30,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray030_se3_log_map.csv,0.857750595,0.842622042,0.231257632,1.778118849,0.246050547,1.122445226,1.30025208,-0.043857474,-1.531717658,232.9992828,301.9611816,214.3069763
31,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray031_se3_log_map.csv,0.827672482,0.828332603,0.172167733,1.506324172,0.116291819,1.432646036,1.560099602,-0.036312535,-1.509459257,212.5631256,309.6919861,188.9385986
18,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray018_se3_log_map.csv,0.855650902,0.846044898,0.154976472,1.406586766,0.159528898,1.172604561,1.465518951,-0.289524466,-1.511034369,218.6478882,328.5318604,267.993103
33,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray033_se3_log_map.csv,0.826066852,0.829219699,0.211368322,1.575961471,0.158753364,1.790522695,1.55986166,-0.035359841,-1.510127187,212.8866425,328.9305115,189.3975067
42,/home/zsr/project/diffpose/ours/deepfluoro/runs/5/norm/specimen05_xray042_se3_log_map.csv,0.795577049,0.815376818,0.45777747,1.228398442,0.472524861,3.865707397,1.579306722,-0.076732405,-1.535585642,123.9254913,396.7575989,212.0360565
