idx,ssim,ssim_ori,tre,mpd,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
2,0.732538640499115,0.7411260604858398,66.9319076538086,23.268386840820312,22.5094429118546,111.25251770019531,225.74905395507812,111.97120666503906,-0.831488311290741,-0.24595268070697784,1.8547523021697998,286.37261962890625,-26.013198852539062,188.32992553710938,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,286.37261962890625,-26.013198852539062,188.32992553710938
3,0.7273536920547485,0.7326183915138245,66.53032684326172,23.27022361755371,21.520809202177098,106.86167907714844,216.0785675048828,107.49308776855469,-0.7879157066345215,-0.22776703536510468,1.8521249294281006,292.45208740234375,-22.640655517578125,181.9074249267578,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,292.45208740234375,-22.640655517578125,181.9074249267578
4,0.727279007434845,0.7286432981491089,54.11459732055664,21.762174606323242,23.285292951601512,109.94050598144531,231.03717041015625,110.70136260986328,-0.8028832674026489,-0.2607336640357971,1.8748698234558105,281.5626525878906,-11.558013916015625,195.0528106689453,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,281.5626525878906,-11.558013916015625,195.0528106689453
5,0.7210598587989807,0.7511060833930969,58.83702087402344,29.482772827148438,21.347458345344016,100.365234375,211.6076202392578,100.93697357177734,-0.7444508075714111,-0.22026455402374268,1.8775957822799683,287.8227844238281,-15.617317199707031,179.79922485351562,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,287.8227844238281,-15.617317199707031,179.79922485351562
6,0.710220217704773,0.7504466772079468,61.528076171875,27.596847534179688,21.20387093940423,102.31352996826172,211.44117736816406,102.890869140625,-0.7525426745414734,-0.21924836933612823,1.8814876079559326,290.01953125,-17.9249267578125,179.97109985351562,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,290.01953125,-17.9249267578125,179.97109985351562
7,0.7177636623382568,0.7487262487411499,59.13974380493164,30.457077026367188,21.89672882586718,101.7554702758789,216.48939514160156,102.36348724365234,-0.7435302734375,-0.2299107015132904,1.8844454288482666,287.6123352050781,-15.434120178222656,181.65060424804688,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,287.6123352050781,-15.434120178222656,181.65060424804688
8,0.7170066833496094,0.738078236579895,61.29190444946289,36.314491271972656,20.477294430744923,93.4435806274414,201.65493774414062,93.92884063720703,-0.7073315978050232,-0.19490547478199005,1.8706514835357666,293.00408935546875,-14.84954833984375,168.73477172851562,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,293.00408935546875,-14.84954833984375,168.73477172851562
9,0.7144497632980347,0.7426156401634216,63.31144332885742,27.0278263092041,21.370117525236285,106.17826080322266,214.59762573242188,106.78421020507812,-0.7618754506111145,-0.2236107885837555,1.8921372890472412,289.2659912109375,-20.327964782714844,183.85260009765625,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,289.2659912109375,-20.327964782714844,183.85260009765625
10,0.7153507471084595,0.7477109432220459,58.57737350463867,26.146286010742188,22.229900426561173,106.53960418701172,221.32276916503906,107.20130157470703,-0.7579711079597473,-0.23820415139198303,1.8919967412948608,287.63116455078125,-14.396400451660156,187.7406463623047,1.8216999769210815,-0.6765000224113464,-0.6884999871253967,287.63116455078125,-14.396400451660156,187.7406463623047
11,0.7305200099945068,0.7367920279502869,56.734344482421875,22.093698501586914,18.236389140673246,93.30699157714844,184.47909545898438,93.7024917602539,-0.8057644963264465,-0.17938323318958282,1.7819817066192627,272.5509338378906,-22.584617614746094,197.37362670898438,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,272.5509338378906,-22.584617614746094,197.37362670898438
12,0.7406526207923889,0.7211195230484009,62.77886962890625,20.801225662231445,20.683047267868442,96.74556732177734,204.78684997558594,97.2624282836914,-0.8428336977958679,-0.21532562375068665,1.754837155342102,276.8763427734375,-25.451400756835938,198.4302978515625,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,276.8763427734375,-25.451400756835938,198.4302978515625
13,0.7338594198226929,0.7044268250465393,55.85686111450195,27.24308967590332,26.896079341159435,107.46961212158203,258.1466979980469,108.41182708740234,-0.8813741207122803,-0.29864344000816345,1.6816662549972534,267.33978271484375,-13.451431274414062,218.29457092285156,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,267.33978271484375,-13.451431274414062,218.29457092285156
14,0.7320005893707275,0.7115596532821655,54.35121536254883,24.324142456054688,26.663507575014567,109.2947998046875,257.0733947753906,110.23494720458984,-0.8778181076049805,-0.29400184750556946,1.6798542737960815,267.63616943359375,-11.549301147460938,220.78158569335938,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,267.63616943359375,-11.549301147460938,220.78158569335938
15,0.7370808124542236,0.7025786638259888,54.20808029174805,20.437833786010742,25.363637553766353,108.16488647460938,246.3550567626953,109.01212310791016,-0.8582180142402649,-0.27548739314079285,1.68779456615448,270.67901611328125,-11.655746459960938,218.89785766601562,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,270.67901611328125,-11.655746459960938,218.89785766601562
16,0.7332925796508789,0.7087032198905945,58.697689056396484,22.641157150268555,23.040273411581104,102.26355743408203,225.57635498046875,102.93762969970703,-0.8374977111816406,-0.25655511021614075,1.7476255893707275,277.18853759765625,-15.856178283691406,209.1981964111328,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,277.18853759765625,-15.856178283691406,209.1981964111328
17,0.7319267988204956,0.7055759429931641,52.574798583984375,23.229887008666992,26.45189541913042,107.03431701660156,254.4440155029297,107.94389343261719,-0.866223931312561,-0.2879132032394409,1.6715621948242188,267.95111083984375,-10.243110656738281,218.70703125,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,267.95111083984375,-10.243110656738281,218.70703125
18,0.7098718881607056,0.7269434332847595,48.76603317260742,23.92828941345215,26.839883386027267,108.58883666992188,258.1696472167969,109.53433227539062,-0.8696876168251038,-0.2962343096733093,1.6745007038116455,266.8315734863281,-3.9545135498046875,222.188232421875,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,266.8315734863281,-3.9545135498046875,222.188232421875
19,0.7402018904685974,0.6997540593147278,60.41791915893555,22.719938278198242,21.523951307761358,97.98255157470703,211.85232543945312,98.54692077636719,-0.8118900060653687,-0.23281055688858032,1.758700966835022,283.74200439453125,-15.770339965820312,201.8765869140625,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,283.74200439453125,-15.770339965820312,201.8765869140625
20,0.7438920736312866,0.7001509666442871,59.866695404052734,19.983762741088867,21.854827090630014,100.97221374511719,215.79910278320312,101.57200622558594,-0.8129420876502991,-0.23459844291210175,1.7450720071792603,282.11907958984375,-16.013534545898438,205.90457153320312,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,282.11907958984375,-16.013534545898438,205.90457153320312
21,0.7257493734359741,0.718268632888794,39.54603958129883,15.71037769317627,22.792669546544815,97.04009246826172,221.3129119873047,97.6788101196289,-0.8080096244812012,-0.2411578893661499,1.715584635734558,265.8249206542969,-0.9282684326171875,211.01885986328125,1.7960001230239868,-0.6848999857902527,-0.6801999807357788,265.8249206542969,-0.9282684326171875,211.01885986328125
