id_number,file,ncc,ssim,ssim_ori,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
35,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray035_se3_log_map.csv,0.208459192,0.825626564,0.785744394,4.454776287,1.363754511,1.454845374,6.529317379,-1.214242697,0.014487742,1.821335077,219.5189514,42.33740234,148.3877869
46,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray046_se3_log_map.csv,0.364506224,0.820436232,0.82042894,5.164752483,0.872376442,0.457436975,5.380705833,-1.238698721,0.002803121,1.815937877,214.3790283,40.08939362,150.5292053
51,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray051_se3_log_map.csv,0.329822535,0.834261641,0.785514921,3.741665125,0.858097911,0.914462445,4.292364597,-1.221926928,0.002713624,1.820605874,215.3570862,49.63137817,150.9285736
42,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray042_se3_log_map.csv,0.286426044,0.824155466,0.802585539,4.048289299,1.124290705,1.057730963,5.082882881,-1.220351696,0.010527656,1.820011854,217.9811249,42.29945374,149.2381897
20,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray020_se3_log_map.csv,0.299746817,0.752417231,0.810827133,1.637955189,0.93037343,0.51197885,2.349744797,-1.240590572,0.007950986,1.807886839,228.352478,48.28419495,150.2828064
49,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray049_se3_log_map.csv,0.299737754,0.841134477,0.795493138,2.422361612,1.935749888,0.669075113,4.229208946,-1.244296551,-0.000539064,1.813262939,210.6428375,46.39720154,152.678009
36,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray036_se3_log_map.csv,0.235624161,0.816792683,0.8044171,6.194952011,1.744713902,2.057601591,9.779133797,-1.204211593,0.019301897,1.822285891,222.4041901,41.42120361,147.0692902
48,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray048_se3_log_map.csv,0.279761466,0.850367388,0.791070953,4.558568001,1.099032164,0.757827192,5.815207481,-1.233534455,-0.010162737,1.812552929,212.4454651,49.79556274,154.2467041
39,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray039_se3_log_map.csv,0.250808234,0.794548154,0.79932523,1.870241046,2.367098808,0.706775298,3.129859447,-1.230539918,-0.004044127,1.819555879,215.8783569,46.86943817,153.2125854
19,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray019_se3_log_map.csv,0.272965805,0.781733006,0.806972174,2.562951565,1.061236978,0.74788801,4.46697855,-1.237659335,0.00498425,1.807812452,229.2427216,49.69512939,151.7368774
12,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray012_se3_log_map.csv,0.224054272,0.762083524,0.770547193,32.10950851,35.68925476,3.830892022,22.57379913,-1.219368935,0.073018245,1.795138121,226.2407684,65.0038681,162.0715942
14,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray014_se3_log_map.csv,0.317392182,0.811492699,0.81340222,0.664854467,0.743082702,0.466093256,2.082859755,-1.238684893,0.014120871,1.810680151,229.3808899,46.77319336,149.1001587
9,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray009_se3_log_map.csv,0.212481645,0.787723261,0.762308054,30.978405,36.45505142,3.429023581,22.70305824,-1.218706846,0.061922479,1.788269162,228.0664063,62.94625854,164.9260864
29,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray029_se3_log_map.csv,0.199281363,0.809187791,0.761037013,1.905443668,1.105327725,0.682120611,3.24319005,-1.223905921,-0.003843496,1.811448455,216.2462921,47.94915771,151.7241974
47,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray047_se3_log_map.csv,0.301051984,0.851553399,0.783067597,3.771416664,0.514964938,0.545010027,4.426242352,-1.230776787,-0.006143638,1.811426401,213.8010254,49.38225555,152.8473816
30,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray030_se3_log_map.csv,0.214336679,0.809140806,0.797318972,2.486262798,0.358817846,0.154576634,2.572783232,-1.233648539,0.005449472,1.810016394,214.9417725,43.00387573,150.3810577
45,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray045_se3_log_map.csv,0.296376024,0.808835096,0.820877118,1.176284432,0.943471313,0.856540529,2.578157663,-1.224249363,-0.00414623,1.819084167,216.3292389,45.29322815,152.5177765
8,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray008_se3_log_map.csv,0.201999249,0.798559078,0.7739338,27.73117447,37.8250885,3.662544142,15.50834942,-1.220427275,0.070473194,1.796180606,231.5998535,49.99882507,163.9989319
40,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray040_se3_log_map.csv,0.226292723,0.811855168,0.795336412,8.888122559,1.915333986,2.175722555,12.15717697,-1.209182143,0.027137153,1.825897336,222.9309998,38.66249847,145.5832214
10,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray010_se3_log_map.csv,0.189011007,0.797973281,0.786571912,29.04625702,39.78249359,4.433215915,14.73238277,-1.209998608,0.081140108,1.799521685,233.5163727,47.64354706,162.8782654
