alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-0.8488028049468994,0.1808198094367981,1.9922757148742676,242.43783569335938,22.55710220336914,83.84239959716797,0.9541823863983154,82.93499755859375,21.931800842285156,85.78588104248047,21.957530975341797,11.177653312683105,0.29598505899775773,2,se3_log_map,0.8744946718215942,1.923072338104248,-0.7365298271179199,-0.7180001735687256,228.5179443359375,154.43006896972656,-88.71650695800781
-0.8387250900268555,0.18085823953151703,1.9978599548339844,235.8638916015625,20.439685821533203,82.18431854248047,0.9226087331771851,81.92706298828125,28.86223602294922,86.86237335205078,28.894351959228516,14.744407653808594,0.15785780298756436,2,se3_log_map,0.860397458076477,1.930572509765625,-0.7290298342704773,-0.7105002999305725,223.5179443359375,149.4300994873047,-83.716552734375
-0.8370540142059326,0.18371036648750305,1.9980347156524658,235.53944396972656,19.835559844970703,82.62353515625,0.9330824613571167,81.70342254638672,29.140180587768555,86.74445343017578,29.17219352722168,14.735299110412598,0.14954070997191593,2,se3_log_map,0.8646308779716492,1.932128667831421,-0.7257642149925232,-0.7122222185134888,223.4919891357422,149.78097534179688,-82.47513580322266
-0.8366742134094238,0.1874980330467224,2.0019264221191406,235.06002807617188,18.84145736694336,84.21218872070312,0.9439229369163513,83.60208892822266,29.28801918029785,88.5838394165039,29.321020126342773,14.595566749572754,0.1503146449686028,2,se3_log_map,0.871024489402771,1.9370640516281128,-0.7250613570213318,-0.7147735357284546,223.7232208251953,151.0868377685547,-80.65979766845703
-0.834466814994812,0.19210802018642426,2.0057363510131836,233.61875915527344,17.830322265625,85.12210845947266,0.9681054353713989,85.043212890625,30.61932373046875,90.387451171875,30.653968811035156,16.486478805541992,0.14928996498929337,2,se3_log_map,0.8733808994293213,1.9426313638687134,-0.7219874858856201,-0.7170503735542297,222.92178344726562,151.546630859375,-78.49510955810547
-0.8352760672569275,0.1963561773300171,2.010190725326538,232.52310180664062,16.14990997314453,87.72776794433594,1.0047240257263184,87.6998291015625,31.573490142822266,93.21022033691406,31.60991668701172,19.393299102783203,0.15025982400402427,2,se3_log_map,0.8742341995239258,1.947938323020935,-0.7225162386894226,-0.7206769585609436,223.11209106445312,153.44247436523438,-75.35247039794922
-0.8364111185073853,0.20041261613368988,2.01546049118042,231.57427978515625,14.242984771728516,90.77272033691406,1.0125300884246826,90.82007598876953,32.74881362915039,96.54413604736328,32.787513732910156,23.823890686035156,0.21551616699434817,2,se3_log_map,0.8653613328933716,1.9538341760635376,-0.7239068746566772,-0.7241328358650208,223.66587829589844,155.66815185546875,-71.94652557373047
-0.8354863524436951,0.20330680906772614,2.019926071166992,229.40721130371094,12.704448699951172,93.08283996582031,0.9919250011444092,92.86857604980469,35.214942932128906,99.32101440429688,35.25628662109375,29.32520866394043,0.14912621496478096,2,se3_log_map,0.8571029901504517,1.9590773582458496,-0.7234785556793213,-0.7253943681716919,222.87454223632812,156.89210510253906,-68.3667984008789
-0.8340414762496948,0.20404255390167236,2.0203473567962646,228.44378662109375,12.593692779541016,93.39195251464844,0.9867045879364014,92.73548889160156,36.11878967285156,99.52104187011719,36.16022872924805,30.87790870666504,0.15109971596393734,2,se3_log_map,0.8535014390945435,1.960044264793396,-0.721776008605957,-0.7251535058021545,222.1103057861328,156.9737091064453,-67.43463897705078
-0.8323496580123901,0.203561469912529,2.0186948776245117,228.11016845703125,13.180553436279297,92.76448059082031,0.9920605421066284,91.4654769897461,36.1844367980957,98.36283111572266,36.22463607788086,30.467111587524414,0.14815441402606666,2,se3_log_map,0.8525391817092896,1.9587767124176025,-0.7195054888725281,-0.7240387201309204,221.41781616210938,156.5228729248047,-67.78550720214844
-0.8313614130020142,0.2027941793203354,2.0169336795806885,228.38893127441406,13.937843322753906,92.13859558105469,0.9987591505050659,90.31017303466797,35.645694732666016,97.09038543701172,35.68431854248047,29.236671447753906,0.14819537795847282,2,se3_log_map,0.854361355304718,1.9571497440338135,-0.7180726528167725,-0.7230891585350037,221.20372009277344,156.30258178710938,-68.68631744384766
-0.8305671215057373,0.20118354260921478,2.014533519744873,228.75233459472656,15.037090301513672,90.9841537475586,1.010249137878418,88.82007598876953,34.96138000488281,95.4531478881836,34.998443603515625,27.152956008911133,0.1480461530154571,2,se3_log_map,0.8564475178718567,1.954611897468567,-0.7170195579528809,-0.7215707898139954,220.82403564453125,155.66824340820312,-70.23636627197266
-0.8308332562446594,0.1998114287853241,2.0129733085632324,229.63177490234375,16.092647552490234,90.45051574707031,1.0178498029708862,88.03582763671875,33.807342529296875,94.30399322509766,33.84282302856445,24.892370223999023,0.1490315180271864,2,se3_log_map,0.8616667985916138,1.952670693397522,-0.7173269391059875,-0.7207381725311279,221.0507354736328,155.81353759765625,-71.8573989868164
-0.8310516476631165,0.19844307005405426,2.0111374855041504,230.5005340576172,17.331645965576172,89.6887435913086,1.0197948217391968,87.12289428710938,32.65604019165039,93.0420150756836,32.68992233276367,22.396242141723633,0.14837551699019969,2,se3_log_map,0.8691231608390808,1.9504913091659546,-0.7174503207206726,-0.719946026802063,221.12437438964844,155.84304809570312,-73.74456024169922
-0.8310137987136841,0.19755370914936066,2.009742259979248,230.87490844726562,18.460433959960938,88.81747436523438,1.0152149200439453,86.39187622070312,32.06864547729492,92.15180206298828,32.10157775878906,20.577713012695312,0.14938159997109324,2,se3_log_map,0.8731800317764282,1.9489325284957886,-0.7172490358352661,-0.7193697094917297,220.75782775878906,155.63226318359375,-75.35938262939453
-0.831631600856781,0.19695015251636505,2.0092039108276367,231.2615966796875,19.255752563476562,88.53443145751953,1.0043141841888428,86.26346588134766,31.513553619384766,91.8394775390625,31.54583168029785,19.254833221435547,0.14934845099924132,2,se3_log_map,0.8766148686408997,1.9480957984924316,-0.7179686427116394,-0.719275951385498,220.6761016845703,155.86273193359375,-76.49414825439453
-0.8323599100112915,0.19669128954410553,2.0094845294952393,231.2021942138672,19.624088287353516,88.78437805175781,1.0038039684295654,86.5684585571289,31.419652938842773,92.09393310546875,31.45177459716797,18.936227798461914,0.1495003920281306,2,se3_log_map,0.8774721026420593,1.9480928182601929,-0.7189993858337402,-0.7193989753723145,220.50392150878906,156.30528259277344,-76.79127502441406
-0.8324055075645447,0.19668854773044586,2.010868549346924,229.9799041748047,19.616588592529297,89.44326782226562,1.0145471096038818,87.18639373779297,32.47576141357422,93.03839111328125,32.50849914550781,20.32297706604004,0.1510671169962734,2,se3_log_map,0.8756982684135437,1.949334740638733,-0.719721794128418,-0.7191024422645569,219.56509399414062,156.65394592285156,-75.94446563720703
-0.8315070867538452,0.19713608920574188,2.0123131275177,228.13821411132812,19.49081039428711,89.89876556396484,1.0213890075683594,87.61146545410156,34.204811096191406,94.05178833007812,34.23855209350586,22.583953857421875,0.14744813495781273,2,se3_log_map,0.8688632249832153,1.951005220413208,-0.7192472815513611,-0.718662440776825,218.06723022460938,156.61573791503906,-74.67819213867188
-0.8308299779891968,0.19721201062202454,2.0134687423706055,226.16690063476562,19.435718536376953,90.28349304199219,1.0152852535247803,87.93367004394531,36.065547943115234,95.0423812866211,36.10035705566406,24.829103469848633,0.14814702101284638,2,se3_log_map,0.8627802729606628,1.9522355794906616,-0.7190732955932617,-0.7180583477020264,216.41729736328125,156.48104858398438,-73.46245574951172
-0.8317540287971497,0.19731418788433075,2.0142312049865723,225.64971923828125,19.519149780273438,90.91650390625,1.016932725906372,88.54702758789062,36.4810676574707,95.76765441894531,36.5161247253418,25.324983596801758,0.1470038560219109,2,se3_log_map,0.8613325357437134,1.9527463912963867,-0.7203308939933777,-0.718542218208313,216.0370330810547,157.08221435546875,-73.11290740966797
-0.8337204456329346,0.19732142984867096,2.0146145820617676,226.03341674804688,19.760833740234375,91.64998626708984,1.0241880416870117,89.28565216064453,35.99306869506836,96.26748657226562,36.027748107910156,24.674970626831055,0.14702006400329992,2,se3_log_map,0.8635481595993042,1.952637791633606,-0.7225263118743896,-0.7196513414382935,216.40118408203125,158.11700439453125,-73.39419555664062
-0.8359851241111755,0.19760854542255402,2.015878200531006,226.3796844482422,19.890789031982422,92.89852905273438,1.0223675966262817,90.53544616699219,35.56061935424805,97.26882934570312,35.59495162963867,24.59681510925293,0.14807115198345855,2,se3_log_map,0.8662874102592468,1.9533501863479614,-0.7252968549728394,-0.7210099101066589,216.89134216308594,159.6298065185547,-73.37699127197266
-0.8383987545967102,0.19801990687847137,2.0184292793273926,226.2710723876953,19.808692932128906,94.69656372070312,1.0064046382904053,92.40973663330078,35.66799545288086,99.05435943603516,35.70241165161133,25.745946884155273,0.1475707110366784,2,se3_log_map,0.8669819831848145,1.9552310705184937,-0.7287835478782654,-0.722274899482727,217.2076416015625,161.46424865722656,-72.77062225341797
-0.839277446269989,0.19752532243728638,2.020402431488037,225.42770385742188,19.93307876586914,95.85865020751953,1.000169277191162,93.4734878540039,36.492740631103516,100.34446716308594,36.52751159667969,27.046571731567383,0.1470022999565117,2,se3_log_map,0.8665679693222046,1.9566370248794556,-0.7309385538101196,-0.721849799156189,216.69688415527344,162.44485473632812,-72.1131591796875
-0.839491605758667,0.196414977312088,2.022063732147217,224.03343200683594,20.15267562866211,96.51370239257812,0.9994115829467773,94.13746643066406,37.83390426635742,101.45573425292969,37.86962127685547,28.26365852355957,0.1468105289968662,2,se3_log_map,0.8644415140151978,1.957705020904541,-0.7326120734214783,-0.7204858064651489,215.57444763183594,162.73890686035156,-71.45710754394531
-0.8392539024353027,0.19475391507148743,2.023383855819702,222.4145050048828,20.450851440429688,96.60655212402344,1.0036348104476929,94.46546173095703,39.35485076904297,102.33537292480469,39.3919677734375,29.155960083007812,0.14782586600631475,2,se3_log_map,0.8614435195922852,1.9583817720413208,-0.7339684963226318,-0.718383252620697,214.11973571777344,162.37220764160156,-71.0060806274414
-0.8385235071182251,0.192165344953537,2.023024082183838,221.14154052734375,21.25782012939453,95.75190734863281,1.0156104564666748,93.82406616210938,40.40385055541992,102.1539306640625,40.44187545776367,28.692115783691406,0.14781021303497255,2,se3_log_map,0.85821533203125,1.9573367834091187,-0.7345262169837952,-0.7154660224914551,212.55577087402344,161.31744384765625,-71.52751922607422
-0.8379890322685242,0.18940062820911407,2.022139549255371,220.32188415527344,22.273479461669922,94.79133605957031,1.0177431106567383,93.007568359375,41.01698684692383,101.650390625,41.05543899536133,27.744604110717773,0.14576813101302832,2,se3_log_map,0.857120156288147,1.9557076692581177,-0.7351301908493042,-0.7126196026802063,211.27682495117188,160.38221740722656,-72.50325775146484
-0.8383064270019531,0.18671686947345734,2.0210421085357666,220.34263610839844,23.382991790771484,94.00355529785156,1.0206884145736694,92.37232208251953,40.83762741088867,100.99681854248047,40.87590408325195,26.015928268432617,0.14783102896763012,2,se3_log_map,0.8604543805122375,1.9537068605422974,-0.7364585399627686,-0.7104204893112183,210.73004150390625,159.91567993164062,-73.96862030029297
-0.8395154476165771,0.18443600833415985,2.0200700759887695,221.14971923828125,24.45479965209961,93.6626205444336,1.0244464874267578,92.10884857177734,39.91664123535156,100.38614654541016,39.95408630371094,23.698102951049805,0.14686218497809023,2,se3_log_map,0.8671377897262573,1.95173978805542,-0.7385295629501343,-0.7091309428215027,210.97698974609375,160.14083862304688,-75.64701080322266
-0.8403295278549194,0.182463601231575,2.0181078910827637,222.08148193359375,25.606529235839844,92.87904357910156,1.0190153121948242,91.33273315429688,38.904666900634766,99.27356719970703,38.94109344482422,21.241437911987305,0.14832954399753362,2,se3_log_map,0.8727537989616394,1.9490766525268555,-0.7395384311676025,-0.7081527709960938,211.1664276123047,160.04904174804688,-77.56396484375
