alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.0596344470977783,0.24798813462257385,1.7138375043869019,189.32080078125,164.71499633789062,92.17803955078125,0.42527297139167786,98.33231353759766,80.33936309814453,126.97896575927734,80.429931640625,38.27351379394531,102.2573471069336,0.12397986499854596,27,se3_log_map,0.7316922545433044,1.6544848680496216,-0.7433462738990784,-0.983441948890686,85.01593017578125,264.319091796875,-158.5853271484375
-1.0488872528076172,0.24945053458213806,1.7189613580703735,177.82777404785156,161.7655029296875,91.41010284423828,0.4805973768234253,100.03681182861328,79.3668441772461,127.69674682617188,79.4769287109375,28.507001876831055,103.8251953125,0.14151502300228458,27,se3_log_map,0.7618359327316284,1.6619848012924194,-0.7358461022377014,-0.9759418964385986,77.51603698730469,256.8192138671875,-151.0853271484375
-1.0436460971832275,0.2476099729537964,1.726811170578003,166.1385955810547,158.46487426757812,91.18999481201172,0.41236892342567444,98.67097473144531,79.73818969726562,126.86267852783203,79.8583755493164,33.144256591796875,104.33645629882812,0.1323132940015057,27,se3_log_map,0.7687391042709351,1.6691205501556396,-0.7370389103889465,-0.9689896106719971,70.02538299560547,249.4513397216797,-143.5752716064453
-1.040203332901001,0.2461501955986023,1.7248843908309937,170.4513397216797,158.58926391601562,90.4236068725586,0.45835861563682556,99.4553451538086,78.71331787109375,126.83513641357422,78.83187103271484,31.549388885498047,103.42070007324219,0.13442874899919843,27,se3_log_map,0.7785567045211792,1.6675605773925781,-0.7337631583213806,-0.9657913446426392,73.95893859863281,250.35389709472656,-145.9011993408203
-1.0383166074752808,0.24563337862491608,1.7213407754898071,177.15240478515625,159.89993286132812,90.43309020996094,0.4828524589538574,100.62903594970703,78.15164184570312,127.4122543334961,78.26677703857422,29.523277282714844,102.93737030029297,0.13456616499752272,27,se3_log_map,0.7717836499214172,1.6646705865859985,-0.7303134799003601,-0.9648218750953674,79.19637298583984,253.7965850830078,-149.6511688232422
-1.0379924774169922,0.24571648240089417,1.7200181484222412,183.8135986328125,161.1136474609375,92.08064270019531,0.4724729061126709,101.07911682128906,77.5237808227539,127.38494873046875,77.63195037841797,29.165510177612305,102.28225708007812,0.13597766400198452,27,se3_log_map,0.7523314952850342,1.663630723953247,-0.7291858792304993,-0.9649546146392822,84.63662719726562,258.62005615234375,-152.58798217773438
-1.0386805534362793,0.24541127681732178,1.721564769744873,188.40391540527344,161.59478759765625,94.80440521240234,0.45800918340682983,100.3929443359375,76.61039733886719,126.28498077392578,76.70964813232422,29.890825271606445,101.2199935913086,0.13446341000235407,27,se3_log_map,0.7454617023468018,1.6646852493286133,-0.7309185862541199,-0.9648439288139343,88.92446899414062,263.0292663574219,-153.6733856201172
-1.0388158559799194,0.24433350563049316,1.7246545553207397,191.37515258789062,161.24050903320312,97.12081909179688,0.4297049641609192,99.18077850341797,75.4182357788086,124.59830474853516,75.5098876953125,30.897075653076172,99.81938934326172,0.12749796999560203,27,se3_log_map,0.7326487302780151,1.666854977607727,-0.7335786819458008,-0.9633590579032898,92.36444091796875,265.7746887207031,-153.79345703125
-1.0369229316711426,0.24242793023586273,1.7272038459777832,191.37835693359375,160.3678741455078,97.11815643310547,0.4357992112636566,98.34089660644531,74.58354949951172,123.42462158203125,74.67444610595703,30.074094772338867,98.9460678100586,0.1347470489999978,27,se3_log_map,0.7341269254684448,1.6686373949050903,-0.7346404194831848,-0.9598779082298279,93.2923583984375,264.888427734375,-153.38763427734375
-1.0336612462997437,0.24008022248744965,1.7288141250610352,189.25106811523438,159.40512084960938,95.67137145996094,0.47408947348594666,97.96286010742188,74.20645141601562,122.89556121826172,74.30116271972656,28.061677932739258,98.66144561767578,0.13415412700123852,27,se3_log_map,0.7478427886962891,1.669716715812683,-0.7342038750648499,-0.9552757143974304,92.25885009765625,261.82574462890625,-152.5785675048828
